Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Peptidyl-Lysine Methylation (GO:0018022)	4/27	5.352343e-07	2.783219e-04	0	0	7.701643e+01	1.112160e+03	SETD3;SMYD2;SMYD1;SMYD3
GO_Biological_Process_2023	Histone Methylation (GO:0016571)	3/9	1.148820e-06	2.986933e-04	0	0	2.167935e+02	2.965036e+03	SMYD2;SMYD1;SMYD3
GO_Biological_Process_2023	Histone Lysine Methylation (GO:0034968)	3/32	6.520004e-05	1.130134e-02	0	0	4.480210e+01	4.318049e+02	SMYD2;SMYD1;SMYD3
GO_Biological_Process_2023	Regulation Of Stem Cell Division (GO:2000035)	2/7	1.225173e-04	1.592725e-02	0	0	1.697532e+02	1.529011e+03	SMYD5;PRDM15
GO_Biological_Process_2023	Peptidyl-Lysine Monomethylation (GO:0018026)	2/8	1.631011e-04	1.696251e-02	0	0	1.414539e+02	1.233639e+03	SETD3;SMYD2
GO_Biological_Process_2023	Peptidyl-Lysine Dimethylation (GO:0018027)	2/9	2.093736e-04	1.814571e-02	0	0	1.212401e+02	1.027072e+03	SETD3;SMYD2
GO_Biological_Process_2023	Mitophagy (GO:0000423)	2/16	6.903113e-04	5.128027e-02	0	0	6.059878e+01	4.410602e+02	PRKN;MAP1LC3B
GO_Biological_Process_2023	Positive Regulation Of Protein Localization To Membrane (GO:1905477)	3/79	9.588076e-04	6.232249e-02	0	0	1.705521e+01	1.185306e+02	PRKN;MYO1C;KIF5B
GO_Biological_Process_2023	Retrotransposon Silencing (GO:0010526)	2/21	1.198639e-03	6.925468e-02	0	0	4.464054e+01	3.002776e+02	MOV10;SMYD5
GO_Biological_Process_2023	Negative Regulation Of Transposition (GO:0010529)	2/25	1.701673e-03	8.848700e-02	0	0	3.686957e+01	2.350856e+02	MOV10;SMYD5
GO_Biological_Process_2023	Regulation Of Cellular Response To Stress (GO:0080135)	3/107	2.293768e-03	1.084327e-01	0	0	1.244586e+01	7.564046e+01	CDK9;PRKN;SMYD2
GO_Biological_Process_2023	Negative Regulation Of JNK Cascade (GO:0046329)	2/34	3.137738e-03	1.212872e-01	0	0	2.648803e+01	1.526837e+02	PRKN;NCOR1
GO_Biological_Process_2023	Negative Regulation Of Stress-Activated MAPK Cascade (GO:0032873)	2/37	3.707629e-03	1.212872e-01	0	0	2.421398e+01	1.355344e+02	PRKN;NCOR1
GO_Biological_Process_2023	Mitochondrion Disassembly (GO:0061726)	2/37	3.707629e-03	1.212872e-01	0	0	2.421398e+01	1.355344e+02	PRKN;MAP1LC3B
GO_Biological_Process_2023	Vesicle Cytoskeletal Trafficking (GO:0099518)	2/39	4.112314e-03	1.212872e-01	0	0	2.290282e+01	1.258228e+02	MYO1C;KIF5B
GO_Biological_Process_2023	Response To Unfolded Protein (GO:0006986)	2/44	5.209260e-03	1.212872e-01	0	0	2.017123e+01	1.060465e+02	PRKN;HSPA8
GO_Biological_Process_2023	Negative Regulation Of Cellular Metabolic Process (GO:0031324)	2/46	5.681627e-03	1.212872e-01	0	0	1.925242e+01	9.954496e+01	PRKN;NCOR1
GO_Biological_Process_2023	Regulation Of DNA-templated Transcription (GO:0006355)	11/1922	5.905673e-03	1.212872e-01	0	0	2.732656e+00	1.402356e+01	ZNF430;HSPA8;NCOR1;SETD3;PRDM4;POLR2A;XRCC5;DEAF1;PRDM15;ZNF446;BRD4
GO_Biological_Process_2023	Protein Monoubiquitination (GO:0006513)	2/47	5.924913e-03	1.212872e-01	0	0	1.882364e+01	9.653872e+01	PRKN;TRIM25
GO_Biological_Process_2023	Autophagy Of Mitochondrion (GO:0000422)	2/49	6.425572e-03	1.212872e-01	0	0	1.802082e+01	9.095956e+01	PRKN;MAP1LC3B
GO_Biological_Process_2023	Negative Regulation Of DNA Metabolic Process (GO:0051053)	2/49	6.425572e-03	1.212872e-01	0	0	1.802082e+01	9.095956e+01	XRCC5;H1-1
GO_Biological_Process_2023	Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)	2/51	6.944855e-03	1.212872e-01	0	0	1.728354e+01	8.589496e+01	SMYD5;LMNA
GO_Biological_Process_2023	Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	7/938	7.503816e-03	1.212872e-01	0	0	3.404941e+00	1.665814e+01	CDK9;PRKN;WWOX;SETD3;PRDM4;PRDM15;BRD4
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription, Elongation (GO:0032786)	2/56	8.323330e-03	1.212872e-01	0	0	1.567928e+01	7.508323e+01	CDK9;BRD4
GO_Biological_Process_2023	Regulation Of Transcription By RNA Polymerase II (GO:0006357)	11/2028	8.776174e-03	1.212872e-01	0	0	2.573833e+00	1.218894e+01	CDK9;PRKN;WWOX;NCOR1;SETD3;PRDM4;DEAF1;PRDM15;SMYD2;ZNF446;BRD4
GO_Biological_Process_2023	Selective Autophagy (GO:0061912)	2/58	8.906341e-03	1.212872e-01	0	0	1.511778e+01	7.137092e+01	PRKN;MAP1LC3B
GO_Biological_Process_2023	Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)	3/175	9.033835e-03	1.212872e-01	0	0	7.499621e+00	3.529905e+01	PRKN;TRIM25;BRD4
GO_Biological_Process_2023	Positive Regulation Of DNA-templated Transcription (GO:0045893)	8/1243	1.006902e-02	1.212872e-01	0	0	2.957006e+00	1.359718e+01	CDK9;PRKN;WWOX;SETD3;PRDM4;DEAF1;PRDM15;BRD4
GO_Biological_Process_2023	Protein-Containing Complex Disassembly (GO:0032984)	2/62	1.012557e-02	1.212872e-01	0	0	1.410709e+01	6.478952e+01	HSPA8;MAP1LC3B
GO_Biological_Process_2023	Telomere Organization (GO:0032200)	2/63	1.044133e-02	1.212872e-01	0	0	1.387513e+01	6.329811e+01	XRCC5;RPA3
