Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Histone H3K36 Methyltransferase Activity (GO:0046975)	3/12	2.993313e-06	2.843647e-04	0	0	1.445072e+02	1.838006e+03	SETD3;SMYD2;SMYD3
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Binding (GO:0031625)	6/271	5.022400e-05	2.270750e-03	0	0	1.036560e+01	1.026092e+02	PRKN;HSPA8;MAP1LC3B;POLR2A;XRCC5;UBA52
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Binding (GO:0044389)	6/289	7.170789e-05	2.270750e-03	0	0	9.697428e+00	9.254168e+01	PRKN;HSPA8;MAP1LC3B;POLR2A;XRCC5;UBA52
GO_Molecular_Function_2023	U3 snoRNA Binding (GO:0034511)	2/9	2.093736e-04	4.972622e-03	0	0	1.212401e+02	1.027072e+03	XRCC5;RRP9
GO_Molecular_Function_2023	Protein-Lysine N-methyltransferase Activity (GO:0016279)	3/54	3.139390e-04	5.964841e-03	0	0	2.544757e+01	2.052680e+02	SETD3;SMYD5;SMYD2
GO_Molecular_Function_2023	Histone H4 Methyltransferase Activity (GO:0140939)	2/13	4.508127e-04	7.137868e-03	0	0	7.713733e+01	5.943014e+02	SMYD5;SMYD3
GO_Molecular_Function_2023	Lysine N-methyltransferase Activity (GO:0016278)	2/25	1.701673e-03	2.095012e-02	0	0	3.686957e+01	2.350856e+02	SETD3;SMYD2
GO_Molecular_Function_2023	Histone Deacetylase Binding (GO:0042826)	3/99	1.837619e-03	2.095012e-02	0	0	1.348845e+01	8.496759e+01	PRKN;NCOR1;SMYD4
GO_Molecular_Function_2023	N-methyltransferase Activity (GO:0008170)	2/27	1.984749e-03	2.095012e-02	0	0	3.391660e+01	2.110380e+02	SETD3;SMYD2
GO_Molecular_Function_2023	RNA Polymerase II Complex Binding (GO:0000993)	2/31	2.613001e-03	2.256683e-02	0	0	2.923258e+01	1.738536e+02	SMYD2;BRD4
GO_Molecular_Function_2023	snoRNA Binding (GO:0030515)	2/31	2.613001e-03	2.256683e-02	0	0	2.923258e+01	1.738536e+02	XRCC5;RRP9
GO_Molecular_Function_2023	Histone H3 Methyltransferase Activity (GO:0140938)	2/36	3.512690e-03	2.780879e-02	0	0	2.492741e+01	1.408741e+02	SETD3;SMYD2
GO_Molecular_Function_2023	Promoter-Specific Chromatin Binding (GO:1990841)	2/42	4.755991e-03	3.317245e-02	0	0	2.118191e+01	1.132883e+02	POLR2A;PRDM15
GO_Molecular_Function_2023	G Protein-Coupled Receptor Binding (GO:0001664)	3/140	4.888572e-03	3.317245e-02	0	0	9.432244e+00	5.018760e+01	TUB;PRKN;HSPA8
GO_Molecular_Function_2023	S-adenosylmethionine-dependent Methyltransferase Activity (GO:0008757)	2/50	6.682897e-03	4.232501e-02	0	0	1.764450e+01	8.836727e+01	SETD3;SMYD2
