Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Lysine degradation	3/63	4.948974e-04	2.771425e-02	0	0	2.162065e+01	1.645582e+02	SMYD2;SMYD1;SMYD3
KEGG_2021_Human	Systemic lupus erythematosus	3/135	4.417328e-03	1.021747e-01	0	0	9.791996e+00	5.309436e+01	H2BC3;H3C12;H4C6
KEGG_2021_Human	Alcoholism	3/186	1.065641e-02	1.021747e-01	0	0	7.044904e+00	3.199509e+01	H2BC3;H3C12;H4C6
KEGG_2021_Human	Neutrophil extracellular trap formation	3/189	1.112637e-02	1.021747e-01	0	0	6.930224e+00	3.117518e+01	H2BC3;H3C12;H4C6
KEGG_2021_Human	Transcriptional misregulation in cancer	3/192	1.160820e-02	1.021747e-01	0	0	6.819186e+00	3.038659e+01	CDK9;NCOR1;H3C12
KEGG_2021_Human	Mitophagy	2/68	1.208474e-02	1.021747e-01	0	0	1.282076e+01	5.661407e+01	PRKN;UBA52
KEGG_2021_Human	RIG-I-like receptor signaling pathway	2/70	1.277184e-02	1.021747e-01	0	0	1.244243e+01	5.425536e+01	TKFC;TRIM25
KEGG_2021_Human	Parkinson disease	3/249	2.306985e-02	1.614890e-01	0	0	5.224019e+00	1.969052e+01	PRKN;KIF5B;UBA52
KEGG_2021_Human	Non-homologous end-joining	1/13	3.139508e-02	1.867381e-01	0	0	3.461632e+01	1.198107e+02	XRCC5
KEGG_2021_Human	Herpes simplex virus 1 infection	4/498	3.334609e-02	1.867381e-01	0	0	3.501035e+00	1.190637e+01	ZNF430;NXF1;ZNF417;ZNF587
KEGG_2021_Human	Ubiquitin mediated proteolysis	2/140	4.619355e-02	2.351671e-01	0	0	6.109467e+00	1.878609e+01	PRKN;UBA52
KEGG_2021_Human	Mismatch repair	1/23	5.488623e-02	2.482123e-01	0	0	1.887216e+01	5.477630e+01	RPA3
KEGG_2021_Human	Amyotrophic lateral sclerosis	3/364	5.962174e-02	2.482123e-01	0	0	3.539082e+00	9.979274e+00	PRKN;NXF1;KIF5B
KEGG_2021_Human	Protein processing in endoplasmic reticulum	2/171	6.581257e-02	2.482123e-01	0	0	4.980990e+00	1.355300e+01	PRKN;HSPA8
KEGG_2021_Human	Influenza A	2/172	6.648544e-02	2.482123e-01	0	0	4.951439e+00	1.342222e+01	NXF1;TRIM25
KEGG_2021_Human	RNA polymerase	1/31	7.327651e-02	2.553920e-01	0	0	1.383403e+01	3.615544e+01	POLR2A
KEGG_2021_Human	Fructose and mannose metabolism	1/33	7.781903e-02	2.553920e-01	0	0	1.296810e+01	3.311234e+01	TKFC
KEGG_2021_Human	DNA replication	1/36	8.459194e-02	2.553920e-01	0	0	1.185476e+01	2.928027e+01	RPA3
KEGG_2021_Human	Viral carcinogenesis	2/203	8.842851e-02	2.553920e-01	0	0	4.181222e+00	1.014181e+01	H2BC3;H4C6
KEGG_2021_Human	Homologous recombination	1/41	9.577200e-02	2.553920e-01	0	0	1.037031e+01	2.432652e+01	RPA3
KEGG_2021_Human	Ferroptosis	1/41	9.577200e-02	2.553920e-01	0	0	1.037031e+01	2.432652e+01	MAP1LC3B
KEGG_2021_Human	Nucleotide excision repair	1/47	1.090116e-01	2.687374e-01	0	0	9.014946e+00	1.997983e+01	RPA3
KEGG_2021_Human	Pathways of neurodegeneration	3/475	1.103743e-01	2.687374e-01	0	0	2.691461e+00	5.931651e+00	PRKN;KIF5B;UBA52
KEGG_2021_Human	Shigellosis	2/246	1.218042e-01	2.709919e-01	0	0	3.436868e+00	7.235776e+00	H3C12;UBA52
KEGG_2021_Human	Fanconi anemia pathway	1/54	1.242179e-01	2.709919e-01	0	0	7.821541e+00	1.631353e+01	RPA3
