Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
huMAP	NIP7	2/44	5.209260e-03	6.913394e-02	0	0	2.017123e+01	1.060465e+02	MOV10;RRP9
huMAP	RPL17	2/48	6.172903e-03	6.913394e-02	0	0	1.841351e+01	9.368030e+01	MOV10;RRP9
huMAP	LIN28B	2/52	7.211423e-03	6.913394e-02	0	0	1.693702e+01	8.353489e+01	MOV10;RRP9
huMAP	DDX31	2/53	7.482578e-03	6.913394e-02	0	0	1.660409e+01	8.127997e+01	MOV10;RRP9
huMAP	SURF6	2/58	8.906341e-03	6.913394e-02	0	0	1.511778e+01	7.137092e+01	MOV10;RRP9
huMAP	BRIX1	2/61	9.814170e-03	6.913394e-02	0	0	1.434692e+01	6.633911e+01	MOV10;RRP9
huMAP	ZNF22	2/64	1.076143e-02	6.913394e-02	0	0	1.365065e+01	6.186185e+01	MOV10;RRP9
huMAP	NIFK	2/65	1.108584e-02	6.913394e-02	0	0	1.343330e+01	6.047788e+01	MOV10;RRP9
huMAP	KRR1	2/66	1.141455e-02	6.913394e-02	0	0	1.322274e+01	5.914355e+01	MOV10;PRDM15
huMAP	KNOP1	2/67	1.174752e-02	6.913394e-02	0	0	1.301866e+01	5.785639e+01	MOV10;RRP9
huMAP	C7orf50	2/67	1.174752e-02	6.913394e-02	0	0	1.301866e+01	5.785639e+01	MOV10;RRP9
huMAP	ZNF512	2/68	1.208474e-02	6.913394e-02	0	0	1.282076e+01	5.661407e+01	MOV10;RRP9
huMAP	ST5	1/5	1.219122e-02	6.913394e-02	0	0	1.038906e+02	4.578501e+02	MYO1C
huMAP	GSN	1/5	1.219122e-02	6.913394e-02	0	0	1.038906e+02	4.578501e+02	MYO1C
huMAP	RRP12	2/70	1.277184e-02	6.913394e-02	0	0	1.244243e+01	5.425536e+01	MOV10;RRP9
huMAP	RPS23	2/72	1.347567e-02	6.913394e-02	0	0	1.208571e+01	5.205159e+01	HIST1H1A;UBA52
huMAP	NVL	2/72	1.347567e-02	6.913394e-02	0	0	1.208571e+01	5.205159e+01	MOV10;RRP9
huMAP	NEDD4L	1/6	1.461194e-02	6.913394e-02	0	0	8.310833e+01	3.512088e+02	WWOX
huMAP	ZNF24	1/6	1.461194e-02	6.913394e-02	0	0	8.310833e+01	3.512088e+02	ZNF446
huMAP	SUMO2	1/6	1.461194e-02	6.913394e-02	0	0	8.310833e+01	3.512088e+02	NXF1
huMAP	POP1	2/81	1.684533e-02	6.913394e-02	0	0	1.070401e+01	4.371178e+01	MOV10;RRP9
