Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GABPA ENCODE	8/2082	2.166064e-03	1.364620e-01	0	0	4.315815e+00	2.647685e+01	TIMM10B;SAMM50;LMAN2;PPAN;ZNF512;MRPL23;NUDT5;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	BRCA1 ENCODE	8/3218	2.922810e-02	3.682415e-01	0	0	2.611526e+00	9.225543e+00	TIMM10B;PPP1CC;SCFD1;SAMM50;PPAN;ETFDH;NUDT5;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	MYC CHEA	3/573	3.028274e-02	3.682415e-01	0	0	4.863659e+00	1.700908e+01	SUZ12;MRPL23;EXOSC2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	YY1 ENCODE	7/2753	3.817378e-02	3.682415e-01	0	0	2.583651e+00	8.437188e+00	PPP1CC;SCFD1;SAMM50;LMAN2;MRPL23;EXOSC2;VAMP2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TAF7 ENCODE	3/640	4.007091e-02	3.682415e-01	0	0	4.337071e+00	1.395281e+01	PPP1CC;NUDT5;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	FLI1 ENCODE	3/650	4.165611e-02	3.682415e-01	0	0	4.267830e+00	1.356447e+01	PPAN;ZNF512;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	E2F4 ENCODE	3/710	5.183326e-02	3.682415e-01	0	0	3.893514e+00	1.152372e+01	SUZ12;EXOSC2;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	EGR1 CHEA	2/315	5.435821e-02	3.682415e-01	0	0	5.711008e+00	1.663137e+01	LMAN2;VAMP2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	CEBPD ENCODE	3/734	5.621865e-02	3.682415e-01	0	0	3.760993e+00	1.082604e+01	PPP1CC;SCFD1;ETFDH
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NFYB ENCODE	8/3715	6.203747e-02	3.682415e-01	0	0	2.194362e+00	6.100363e+00	SUZ12;GCSH;IK;ALDH2;LMAN2;ETFDH;ZNF512;EXOSC2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ELF1 ENCODE	6/2483	6.829856e-02	3.682415e-01	0	0	2.354865e+00	6.320143e+00	SCFD1;LMAN2;ETFDH;ZNF512;NUDT5;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GATA1 CHEA	3/807	7.062586e-02	3.682415e-01	0	0	3.406539e+00	9.028550e+00	SAMM50;ALDH2;PPAN
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	BCLAF1 ENCODE	3/851	8.005820e-02	3.682415e-01	0	0	3.222372e+00	8.136494e+00	LMAN2;NUDT5;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	E2F1 CHEA	3/859	8.183145e-02	3.682415e-01	0	0	3.190921e+00	7.987175e+00	MAPK4;S100A10;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TAF1 ENCODE	7/3346	9.253308e-02	3.771667e-01	0	0	2.051671e+00	4.883365e+00	TIMM10B;PPP1CC;SCFD1;LMAN2;ZNF512;EXOSC2;SNRPB
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	MAX ENCODE	5/2073	9.578836e-02	3.771667e-01	0	0	2.278835e+00	5.345268e+00	GCSH;SAMM50;PPAN;NUDT5;EXOSC2
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NFYA ENCODE	5/2250	1.249830e-01	4.631723e-01	0	0	2.078420e+00	4.322235e+00	SUZ12;GCSH;IK;LMAN2;ETFDH
ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	ERG CHEA	1/144	1.593037e-01	5.575629e-01	0	0	6.030100e+00	1.107695e+01	TIMM10B
