Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Nitrogen Compound Metabolic Process (GO:0051171)	2/13	1.067761e-04	2.423817e-02	0	0	1.650000e+02	1.508888e+03	PM20D2;ALDH2
GO_Biological_Process_2023	Protein Insertion Into Mitochondrial Membrane (GO:0051204)	2/28	5.118017e-04	4.789493e-02	0	0	6.975524e+01	5.285755e+02	TIMM10B;SAMM50
GO_Biological_Process_2023	Inner Mitochondrial Membrane Organization (GO:0007007)	2/34	7.562496e-04	4.789493e-02	0	0	5.665909e+01	4.072168e+02	TIMM10B;SAMM50
GO_Biological_Process_2023	Signal Release From Synapse (GO:0099643)	2/38	9.449004e-04	4.789493e-02	0	0	5.035354e+01	3.506837e+02	LIN7A;VAMP2
GO_Biological_Process_2023	Neurotransmitter Secretion (GO:0007269)	2/43	1.209287e-03	4.789493e-02	0	0	4.420177e+01	2.969353e+02	LIN7A;VAMP2
GO_Biological_Process_2023	Regulation Of Transport (GO:0051049)	2/44	1.265945e-03	4.789493e-02	0	0	4.314719e+01	2.878753e+02	SCFD1;VAMP2
GO_Biological_Process_2023	Retrograde Vesicle-Mediated Transport, Golgi To Endoplasmic Reticulum (GO:0006890)	2/48	1.505088e-03	4.880785e-02	0	0	3.938735e+01	2.559746e+02	SCFD1;LMAN2
GO_Biological_Process_2023	Regulation Of Exocytosis (GO:0017157)	2/54	1.901018e-03	5.394139e-02	0	0	3.483217e+01	2.182363e+02	VAMP2;S100A10
GO_Biological_Process_2023	Protein Targeting To Mitochondrion (GO:0006626)	2/59	2.264690e-03	5.712050e-02	0	0	3.176874e+01	1.934817e+02	TIMM10B;SAMM50
GO_Biological_Process_2023	Positive Regulation Of Growth (GO:0045927)	2/81	4.220086e-03	6.246482e-02	0	0	2.289643e+01	1.251954e+02	EXOSC2;H3-3A
GO_Biological_Process_2023	Regulation Of Vesicle-Mediated Transport (GO:0060627)	2/89	5.070864e-03	6.246482e-02	0	0	2.078265e+01	1.098206e+02	SCFD1;VAMP2
GO_Biological_Process_2023	Vesicle Organization (GO:0016050)	2/94	5.639428e-03	6.246482e-02	0	0	1.964822e+01	1.017380e+02	VAMP2;S100A10
GO_Biological_Process_2023	Natural Killer Cell Degranulation (GO:0043320)	1/5	5.986139e-03	6.246482e-02	0	0	2.170870e+02	1.111118e+03	VAMP2
GO_Biological_Process_2023	Neutrophil Degranulation (GO:0043312)	1/5	5.986139e-03	6.246482e-02	0	0	2.170870e+02	1.111118e+03	VAMP2
