Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ARCHS4_TFs_Coexp	MRPL28 human tf ARCHS4 coexpression	4/299	4.108054e-04	1.296591e-01	0	0	1.334305e+01	1.040410e+02	LMAN2;PPAN;MRPL23;SNRPB
ARCHS4_TFs_Coexp	CBFB human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	SUZ12;PM20D2;PPP1CC
ARCHS4_TFs_Coexp	HOXA9 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	PM20D2;PPAN;SNRPB
ARCHS4_TFs_Coexp	ZNF837 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	LMAN2;PPAN;MRPL23
ARCHS4_TFs_Coexp	NPAS1 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	PPAN;MRPL23;SNRPB
ARCHS4_TFs_Coexp	THAP7 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	PPAN;MRPL23;SNRPB
ARCHS4_TFs_Coexp	NOC4L human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	LMAN2;PPAN;SNRPB
ARCHS4_TFs_Coexp	GABPA human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	SUZ12;PM20D2;PPP1CC
ARCHS4_TFs_Coexp	EDF1 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	LMAN2;MRPL23;SNRPB
ARCHS4_TFs_Coexp	POLE4 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	MRPL23;S100A10;SNRPB
ARCHS4_TFs_Coexp	DEK human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	SUZ12;PPP1CC;SNRPB
ARCHS4_TFs_Coexp	E2F6 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	SUZ12;GCSH;PPAN
ARCHS4_TFs_Coexp	DUS3L human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	LMAN2;PPAN;SNRPB
ARCHS4_TFs_Coexp	CPSF4 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	PPAN;MRPL23;SNRPB
ARCHS4_TFs_Coexp	HMX1 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	PPAN;MRPL23;SNRPB
ARCHS4_TFs_Coexp	PRDM13 human tf ARCHS4 coexpression	3/299	5.305742e-03	1.296591e-01	0	0	9.498069e+00	4.976006e+01	PPAN;MRPL23;SNRPB
ARCHS4_TFs_Coexp	HOXA11 human tf ARCHS4 coexpression	2/299	4.953586e-02	2.252154e-01	0	0	6.023569e+00	1.810118e+01	PPAN;SNRPB
ARCHS4_TFs_Coexp	FOXE3 human tf ARCHS4 coexpression	2/299	4.953586e-02	2.252154e-01	0	0	6.023569e+00	1.810118e+01	PM20D2;SNRPB
