Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Elsevier_Pathway_Collection	Metabolic Reprogramming in Cancer: Overview	9/63	4.195642e-07	3.343926e-04	0	0	1.117406e+01	1.640805e+02	LDHB;GLUD1;FH;TPI1;ENO1;SDHA;SDHB;HK2;CD44
Elsevier_Pathway_Collection	Genes with Mutations in Cancer Metabolic Reprogramming (Krebs Cycle)	3/8	1.804632e-04	7.111124e-02	0	0	3.951773e+01	3.406422e+02	FH;SDHA;SDHB
Elsevier_Pathway_Collection	Proteins with Altered Expression in Cancer Metabolic Reprogramming (Krebs Cycle)	3/9	2.676709e-04	7.111124e-02	0	0	3.292977e+01	2.708721e+02	FH;SDHA;SDHB
Elsevier_Pathway_Collection	SWI/SNF BRM/BAF in Chromatin Remodeling	3/14	1.096683e-03	2.160835e-01	0	0	1.795713e+01	1.223862e+02	SMARCC1;SMARCD2;SMARCC2
Elsevier_Pathway_Collection	SWI/SNF BRG1/BAF in Chromatin Remodeling	3/15	1.355606e-03	2.160835e-01	0	0	1.645987e+01	1.086928e+02	SMARCC1;SMARCD2;SMARCC2
Elsevier_Pathway_Collection	SWI/SNF BRG1/PBAF in Chromatin Remodeling	3/16	1.649893e-03	2.191608e-01	0	0	1.519295e+01	9.734192e+01	SMARCC1;SMARCD2;SMARCC2
Elsevier_Pathway_Collection	Protein Nuclear Import and Export	3/17	1.981189e-03	2.255725e-01	0	0	1.410702e+01	8.780293e+01	XPOT;KPNB1;RAN
Elsevier_Pathway_Collection	Glycolysis	3/18	2.351041e-03	2.342224e-01	0	0	1.316589e+01	7.969176e+01	TPI1;ENO1;HK2
Elsevier_Pathway_Collection	Glycolysis Activation in Cancer (Warburg Effect)	4/40	3.036132e-03	2.653155e-01	0	0	7.331096e+00	4.249962e+01	TPI1;ENO1;HK2;CD44
Elsevier_Pathway_Collection	Tight Junction Assembly (Claudins)	3/23	4.826231e-03	2.653155e-01	0	0	9.871906e+00	5.265368e+01	TJP1;RAC1;SPTBN1
Elsevier_Pathway_Collection	Tight Junction Assembly (JAMs)	3/23	4.826231e-03	2.653155e-01	0	0	9.871906e+00	5.265368e+01	TJP1;RAC1;SPTBN1
Elsevier_Pathway_Collection	Lactate as a Signaling Molecule in Cancer Cells	3/24	5.454751e-03	2.653155e-01	0	0	9.401338e+00	4.899289e+01	LDHB;MAPK1;CD44
Elsevier_Pathway_Collection	Mutations in Krebs Cycle Enzymes in Cancer	3/24	5.454751e-03	2.653155e-01	0	0	9.401338e+00	4.899289e+01	FH;SDHA;SDHB
Elsevier_Pathway_Collection	BSG (CD147) in Cancer Cells Motility, Invasion and Survival	4/47	5.457189e-03	2.653155e-01	0	0	6.135477e+00	3.197087e+01	MAPK1;RAC1;PPIA;CD44
Elsevier_Pathway_Collection	AXL Receptor Tyrosine Kinase Signaling	4/47	5.457189e-03	2.653155e-01	0	0	6.135477e+00	3.197087e+01	CASP3;MAPK1;RAC1;RAN
Elsevier_Pathway_Collection	Endometrioid Ovarian Carcinoma	5/76	5.857910e-03	2.653155e-01	0	0	4.653815e+00	2.392043e+01	SMARCC1;SMARCD2;SMARCC2;CASP3;MAPK1
Elsevier_Pathway_Collection	Vascular Smooth Muscle Cell/Pericyte Migration and Proliferation	4/48	5.883821e-03	2.653155e-01	0	0	5.995729e+00	3.079136e+01	CFL1;MAPK1;RAC1;CD44
Elsevier_Pathway_Collection	Androgen Receptor/FKBP5 Signaling	2/8	5.992069e-03	2.653155e-01	0	0	2.188000e+01	1.119669e+02	HSP90AA1;MAPK1
Elsevier_Pathway_Collection	Podocyte Dysfunction in Glomerulonephritis	4/50	6.802479e-03	2.706794e-01	0	0	5.734462e+00	2.861765e+01	TJP1;CASP3;ACTN4;APPL1
Elsevier_Pathway_Collection	SIRT3 Signaling in Aging	3/26	6.853286e-03	2.706794e-01	0	0	8.582958e+00	4.276911e+01	GLUD1;NDUFS1;SDHA
Elsevier_Pathway_Collection	Adherens Junction Assembly (Nectin)	3/27	7.624959e-03	2.706794e-01	0	0	8.224916e+00	4.010739e+01	TJP1;RAC1;EPN1
Elsevier_Pathway_Collection	Clear Cell Ovarian Carcinoma	5/81	7.645783e-03	2.706794e-01	0	0	4.346536e+00	2.118328e+01	SMARCC1;SMARCD2;SMARCC2;CASP3;MAPK1
Elsevier_Pathway_Collection	Peutz-Jeghers Syndrome	4/52	7.811325e-03	2.706794e-01	0	0	5.494966e+00	2.666257e+01	SMARCC1;SMARCD2;SMARCC2;CASP3
Elsevier_Pathway_Collection	Lamellipodia and Filopodia Formation in Cancer	3/29	9.316733e-03	2.786548e-01	0	0	7.591459e+00	3.549723e+01	CTNND1;CFL1;RAC1
Elsevier_Pathway_Collection	Apoptosis of Melanocyte in Vitiligo	3/29	9.316733e-03	2.786548e-01	0	0	7.591459e+00	3.549723e+01	CASP3;MAPK1;RAC1
Elsevier_Pathway_Collection	SOD1 Mutation	3/29	9.316733e-03	2.786548e-01	0	0	7.591459e+00	3.549723e+01	DNAJB1;CASP3;RAC1
