Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	39/251	4.076454e-28	7.398764e-25	0	0	1.362999e+01	8.596050e+02	SF3B2;RBM8A;SF3B6;SNU13;U2AF1;CASC3;PRPF8;ELAVL1;CCAR1;EFTUD2;PNN;PTBP1;PABPN1;SNRPD1;CSTF1;SNRPB2;POLR2H;HNRNPA0;SF3A1;PPIL1;RBM15;FUS;TFIP11;PLRG1;WBP11;U2SURP;WDR33;HNRNPL;SNRNP40;DDX39A;SNW1;PHF5A;PRPF3;FRG1;SRSF5;SNRNP200;SRSF7;RBMX;SNRPB
GO_Biological_Process_2021	mRNA processing (GO:0006397)	41/300	2.881010e-27	2.614517e-24	0	0	1.179010e+01	7.205126e+02	TCERG1;SF3B2;RBM8A;SF3B6;SNU13;U2AF1;CASC3;PRPF8;ELAVL1;CCAR1;EFTUD2;PNN;PTBP1;PABPN1;SNRPD1;CSTF1;SNRPB2;POLR2H;HNRNPA0;SF3A1;PPIL1;RBM15;FUS;TFIP11;PLRG1;WBP11;U2SURP;WDR33;HNRNPL;SNRNP40;DDX39A;SNW1;PHF5A;SARNP;PRPF3;FRG1;SRSF5;SNRNP200;SRSF7;RBMX;SNRPB
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	39/274	1.214870e-26	7.349964e-24	0	0	1.228148e+01	7.328677e+02	SF3B2;RBM8A;SF3B6;SNU13;U2AF1;CASC3;PRPF8;ELAVL1;CCAR1;EFTUD2;PNN;PTBP1;PABPN1;SNRPD1;CSTF1;SNRPB2;POLR2H;HNRNPA0;SF3A1;PPIL1;RBM15;FUS;TFIP11;PLRG1;WBP11;U2SURP;WDR33;HNRNPL;SNRNP40;DDX39A;SNW1;PHF5A;PRPF3;FRG1;SRSF5;SNRNP200;SRSF7;RBMX;SNRPB
GO_Biological_Process_2021	gene expression (GO:0010467)	43/356	2.438417e-26	1.106432e-23	0	0	1.028230e+01	6.064074e+02	RBM8A;RPLP1;RPLP0;RRBP1;ADAR;U2AF1;CASC3;RPL6;RBM3;MRPL3;PABPN1;RPS19;RPS18;RPL36;RPL13;RPL15;POLR2H;RPS11;RAE1;RPL19;RPS12;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;TFIP11;RPL23A;WDR33;NUP93;HNRNPL;RPS25;SNRNP40;GOLPH3;DDX39A;SARNP;RPS20;SRSF5;RPL28;PTMA;SRSF7;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	26/94	6.591170e-26	2.392595e-23	0	0	2.719416e+01	1.576758e+03	ARL6IP1;RPLP1;RPLP0;RPL6;RPS19;SRP72;RPS18;RPL36;RPL13;SSR1;RPL15;RPS11;RPS12;RPL19;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPL23A;RPS25;RPS20;RPL28;UBA52;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	24/90	1.414976e-23	4.280301e-21	0	0	2.567953e+01	1.351060e+03	RPL21;RPS7;RPS8;RPLP1;RPL23;RPLP0;RPS6;RPL13A;RPL23A;RPL6;RPS25;RPS19;SRP72;RPS18;RPL36;RPL13;RPS20;RPL15;RPS11;RPL28;UBA52;RPS12;RPL19;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	25/113	2.586941e-22	6.707568e-20	0	0	2.011200e+01	9.996948e+02	RBM8A;RPLP1;RPLP0;CASC3;RPL6;RPS19;RPS18;RPL36;RPL13;RPL15;RPS11;RPS12;RPL19;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPL23A;RPS25;RPS20;RPL28;UBA52;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	24/103	4.817352e-22	1.092937e-19	0	0	2.143958e+01	1.052354e+03	RPL21;RPS7;RPS8;RPL23;RPLP1;RPS6;RPLP0;RPL13A;RPL23A;RPL6;RPS25;RPS19;SRP72;RPS18;RPL36;RPL13;RPS20;RPL15;RPS11;RPL28;UBA52;RPS12;RPS23;RPL19
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	23/93	8.140145e-22	1.641596e-19	0	0	2.311541e+01	1.122486e+03	RPL21;RPS7;RPS8;RPLP1;RPL23;RPLP0;RPS6;RPL13A;RPL23A;RPL6;RPS25;RPS19;RPS18;RPL36;RPL13;RPS20;RPL15;RPS11;RPL28;UBA52;RPS12;RPL19;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	28/171	4.486359e-21	8.142742e-19	0	0	1.397427e+01	6.547401e+02	RBM8A;RPLP1;RPLP0;CASC3;RPL6;RPS19;RPS18;RPL36;RPL13;RPL15;RPS11;RPS12;RPL19;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;SAMD4B;RPL23A;RPS25;THRAP3;MRTO4;RPS20;RPL28;UBA52;RPS23
