Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	U2-type spliceosomal complex (GO:0005684)	19/89	6.238583e-17	1.409920e-14	0	0	1.882544e+01	7.024374e+02	SF3B2;PPIL1;SF3A1;RBM8A;SF3B6;TFIP11;SNU13;CASC3;PLRG1;PRPF8;EFTUD2;SNRNP40;PHF5A;SNW1;SNRPD1;PRPF3;SNRPB2;SNRNP200;SNRPB
GO_Cellular_Component_2021	ribosome (GO:0005840)	15/62	1.680175e-14	1.898598e-12	0	0	2.185225e+01	6.930942e+02	RPS7;NUFIP2;RPL23;RPL13A;RRBP1;RPL6;RPS25;LARP1;RPS19;RPS18;RPL36;RPL15;RPS11;RPL19;RPS23
GO_Cellular_Component_2021	nucleus (GO:0005634)	126/4484	3.571242e-14	2.690336e-12	0	0	2.519974e+00	7.802665e+01	MDC1;TCERG1;CMAS;RTCB;CTNND1;ENO1;CASC3;RPL6;CCAR1;EFTUD2;FBL;SNRPD1;RPS18;CFL1;MACROD1;ZNF326;SMARCC1;RPS7;RPS8;RPS6;UBE2E1;CIRBP;ACTN4;WBP11;ILF2;HCFC1;DPM1;DDX39A;SARNP;PRPF3;UBE2V2;CMPK1;CCDC86;MATR3;LAP3;PPIG;SNRNP200;PPIA;SRSF7;UBA52;KPNB1;SNRPB;RBM8A;SNU13;PRPF8;MTDH;SDCBP;ZNF703;MCMBP;RREB1;FUS;ARPC4;PA2G4;HNRNPL;RPS25;EIF5;SNW1;HNRNPCL1;ZC3H4;RPLP0;ADAR;ELAVL1;RBM3;TUBA1C;PTBP1;CASP3;PBK;APPL1;NELFE;ACTR2;HSP90AA1;TPI1;RBM15;RING1;RFC2;TUBB;NME2;RPL13A;PLRG1;WDR33;EEF1G;TUBB2B;PSMA2;THRAP3;PTMA;SLC25A11;SF3B2;SMARCD2;HDAC2;AHNAK;NUFIP2;POLDIP2;KARS1;SF3B6;DLST;TYMS;PCNP;PTPA;DNAJB1;BCLAF1;PABPN1;RBBP4;RPL13;MAPK1;SNRPB2;RPL15;POLR2H;RAE1;HNRNPA0;SF3A1;PPIL1;TRMT10C;NAA10;TRMT1;RPL23A;HYPK;SCAF4;U2SURP;PSMC5;PHF5A;TTC4;SERBP1;SEMG1;RBMX;HSPA1B;RAN
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	136/5192	4.465552e-13	2.523037e-11	0	0	2.372598e+00	6.747008e+01	MDC1;TCERG1;CMAS;RTCB;CTNND1;ENO1;CASC3;RPL6;CCAR1;EFTUD2;FBL;SNRPD1;RPS18;CFL1;OSBP;MACROD1;ZNF326;RPS12;SMARCC1;RPS7;RPS8;RPS6;UBE2E1;CIRBP;ACTN4;WBP11;ILF2;HCFC1;DPM1;DDX39A;SARNP;PRPF3;UBE2V2;CMPK1;CCDC86;MATR3;LAP3;PPIG;SNRNP200;PPIA;SRSF7;UBA52;KPNB1;SNRPB;ATP6V1A;RBM8A;MGST3;SNU13;PRPF8;MTDH;SDCBP;ZNF703;MCMBP;RREB1;FUS;ARPC4;PA2G4;HNRNPL;RPS25;EIF5;SNW1;HNRNPCL1;ZC3H4;RPLP0;ADAR;ELAVL1;HK2;RBM3;TUBA1C;PTBP1;CASP3;PBK;RAC1;APPL1;NELFE;ACTR2;HSP90AA1;TPI1;RBM15;RING1;RFC2;TUBB;NME2;RPL13A;PLRG1;EPN1;WDR33;EEF1G;TUBB2B;PSMA2;THRAP3;PTMA;SLC25A11;VAMP2;SF3B2;SMARCD2;HDAC2;AHNAK;NUFIP2;POLDIP2;KARS1;SF3B6;DLST;TYMS;PCNP;PTPA;DNAJB1;BCLAF1;PABPN1;RBBP4;ALDH1B1;RPL13;MAPK1;SNRPB2;RPL15;POLR2H;RAE1;HNRNPA0;SF3A1;PPIL1;TRMT10C;NAA10;TRMT1;RPL23A;HYPK;SCAF4;U2SURP;PSMC5;GOLPH3;PHF5A;TTC4;SERBP1;SEMG1;RBMX;HSPA1B;RAN
GO_Cellular_Component_2021	cytosolic small ribosomal subunit (GO:0022627)	11/40	1.215202e-11	5.122116e-10	0	0	2.563799e+01	6.443731e+02	RPS25;RPS19;RPS7;RPS18;RPS8;RPS6;RPS20;RPS11;UBA52;RPS12;RPS23
GO_Cellular_Component_2021	precatalytic spliceosome (GO:0071011)	12/52	1.359854e-11	5.122116e-10	0	0	2.033586e+01	5.088248e+02	EFTUD2;SF3B2;SF3A1;PHF5A;SNRPD1;PRPF3;SF3B6;SNU13;SNRPB2;SNRNP200;PRPF8;SNRPB
GO_Cellular_Component_2021	cytosolic large ribosomal subunit (GO:0022625)	12/55	2.776453e-11	8.963978e-10	0	0	1.891419e+01	4.597523e+02	RPL21;RPLP1;RPL23;RPLP0;RPL36;RPL13A;RPL13;RPL23A;RPL15;RPL28;RPL6;RPL19
GO_Cellular_Component_2021	nucleolus (GO:0005730)	38/733	3.342032e-11	9.441239e-10	0	0	3.935655e+00	9.493531e+01	DCTN3;SNU13;ADAR;WDR43;FBL;PTBP1;NUB1;RPS19;OSBP;RPL36;RPL13;POLR2H;RPS11;RBM34;SPTBN1;RPL19;RPS7;NAA10;DIS3;KRR1;RPL23;RPS6;RPL13A;TFIP11;RPL23A;NOC3L;PA2G4;SDHA;ILF2;VMP1;RPS25;FRG1;AGPS;MRTO4;CMPK1;CCDC86;SRSF5;RAN
GO_Cellular_Component_2021	small ribosomal subunit (GO:0015935)	11/45	4.989735e-11	1.199438e-09	0	0	2.186214e+01	5.185930e+02	RPS25;RPS19;RPS7;RPS18;RPS8;RPS6;RPS20;RPS11;UBA52;RPS12;RPS23
GO_Cellular_Component_2021	intracellular non-membrane-bounded organelle (GO:0043232)	49/1158	5.307249e-11	1.199438e-09	0	0	3.246385e+00	7.680740e+01	MDC1;ADAR;SMC3;WDR43;FBL;PTBP1;NUB1;RPS19;RPS18;OSBP;RPL36;RAC1;RPS11;RBM34;RPS7;DIS3;RPL23;TUBB;RPS6;RPL13A;TFIP11;SDHA;ILF2;FRG1;AGPS;MRTO4;CMPK1;CCDC86;SRSF5;DCTN3;RRBP1;SNU13;SDCBP;CALD1;RPL13;MAPK1;RPL15;SPTBN1;RPL19;NAA10;KRR1;RPL23A;NOC3L;PA2G4;VMP1;RPS25;CAPZA1;RAN;RPS23
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	12/59	6.713331e-11	1.379284e-09	0	0	1.730095e+01	4.052634e+02	RPL21;RPLP1;RPL23;RPLP0;RPL36;RPL13A;RPL13;RPL23A;RPL15;RPL28;RPL6;RPL19
GO_Cellular_Component_2021	U2-type precatalytic spliceosome (GO:0071005)	11/50	1.717171e-10	3.234005e-09	0	0	1.905445e+01	4.284427e+02	EFTUD2;SF3B2;SF3A1;PHF5A;SNRPD1;PRPF3;SNU13;SNRPB2;SNRNP200;PRPF8;SNRPB
GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	37/745	2.084999e-10	3.487253e-09	0	0	3.744963e+00	8.347928e+01	DCTN3;SNU13;ADAR;WDR43;FBL;PTBP1;NUB1;RPS19;OSBP;RPL36;RPL13;RPS11;RBM34;SPTBN1;RPL19;RPS7;NAA10;DIS3;KRR1;RPL23;RPS6;RPL13A;TFIP11;RPL23A;NOC3L;PA2G4;SDHA;ILF2;VMP1;RPS25;FRG1;AGPS;MRTO4;CMPK1;CCDC86;SRSF5;RAN
GO_Cellular_Component_2021	spliceosomal snRNP complex (GO:0097525)	11/51	2.160246e-10	3.487253e-09	0	0	1.857715e+01	4.134461e+02	SF3B2;SF3A1;SNRNP40;PHF5A;SNRPD1;SF3B6;SNU13;SNRPB2;SNRNP200;PRPF8;SNRPB
