Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	54/1406	1.275725e-14	3.521000e-12	0	0	3.952854e+00	1.264624e+02	NUDT5;BZW1;RBM3;PPP1CC;SART1;ZNF326;NELFE;GLRX3;RADX;ACTN1;RBM19;CIRBP;NOSIP;THOC2;MRPS5;WDR33;FRG1;SRSF2;GEMIN5;SRSF4;PPIG;EIF4E2;RBMS2;GTPBP10;MTDH;PABPN1;EXOSC9;BMS1;SAFB2;SRSF10;EXOSC1;TRMT1L;SRSF11;BTF3;TSNAX;TIA1;TRMT10C;LSM1;LARP4;LSM5;MANF;SRPK1;EIF1;BYSL;PHF5A;EIF5;GOLGB1;EPPK1;DHX29;CDK13;DZIP3;DCP1B;METAP2;FAM50A
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	16/322	1.894659e-06	2.614630e-04	0	0	4.541083e+00	5.983545e+01	VASP;SH3GLB1;LYPLA2;CIP2A;GAPVD1;BZW1;EHD1;EIF5;SNX2;CALD1;PLIN3;TNKS1BP1;SNX9;DHX29;PAK4;PICALM
GO_Molecular_Function_2021	exopeptidase activity (GO:0008238)	5/53	4.283188e-04	3.234370e-02	0	0	8.737589e+00	6.776562e+01	PM20D2;XPNPEP1;BLMH;DPP3;METAP2
GO_Molecular_Function_2021	mRNA 3'-UTR binding (GO:0003730)	6/85	5.564099e-04	3.234370e-02	0	0	6.387861e+00	4.787067e+01	EXOSC9;CIRBP;GEMIN5;LARP4;RNF40;RBMS2
GO_Molecular_Function_2021	clathrin adaptor activity (GO:0035615)	3/15	6.978694e-04	3.234370e-02	0	0	2.083122e+01	1.513905e+02	AP1G1;AP2A2;AP2M1
GO_Molecular_Function_2021	protein homodimerization activity (GO:0042803)	18/636	7.031239e-04	3.234370e-02	0	0	2.511414e+00	1.823281e+01	SH3GLB1;GSTM3;CAMK2D;ACTN1;UBA5;TIMM10;CIP2A;NUDT5;DCK;RNF40;GGCT;SNX2;XPNPEP1;CHMP1A;PSAP;S100A13;SNX9;APPL1
GO_Molecular_Function_2021	ribonuclease activity (GO:0004540)	5/66	1.175791e-03	4.399098e-02	0	0	6.870945e+00	4.635012e+01	TSNAX;RNASEH2A;NOB1;EXOSC9;EXOSC1
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	10/265	1.419762e-03	4.399098e-02	0	0	3.325661e+00	2.180724e+01	FAF1;DBT;RPA2;SNX9;ERLIN2;NAE1;PRKACA;EIF4E2;HSPBP1;RNF40
GO_Molecular_Function_2021	RNA cap binding (GO:0000339)	3/19	1.434489e-03	4.399098e-02	0	0	1.562025e+01	1.022650e+02	LSM1;GEMIN5;EIF4E2
GO_Molecular_Function_2021	poly(A) binding (GO:0008143)	3/22	2.220113e-03	5.623754e-02	0	0	1.315190e+01	8.036069e+01	TIA1;LARP4;RBMS2
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	10/282	2.241351e-03	5.623754e-02	0	0	3.115090e+00	1.900415e+01	FAF1;DBT;RPA2;SNX9;ERLIN2;NAE1;PRKACA;EIF4E2;HSPBP1;RNF40
GO_Molecular_Function_2021	aminopeptidase activity (GO:0004177)	3/27	4.034847e-03	9.263006e-02	0	0	1.040928e+01	5.738416e+01	XPNPEP1;BLMH;METAP2
GO_Molecular_Function_2021	poly-purine tract binding (GO:0070717)	3/28	4.479415e-03	9.263006e-02	0	0	9.992405e+00	5.404155e+01	TIA1;LARP4;RBMS2
GO_Molecular_Function_2021	clathrin heavy chain binding (GO:0032050)	2/9	4.883387e-03	9.263006e-02	0	0	2.371309e+01	1.261991e+02	CLTB;PICALM
GO_Molecular_Function_2021	phosphatidylinositol binding (GO:0035091)	5/92	5.034242e-03	9.263006e-02	0	0	4.811201e+00	2.545843e+01	SNX2;EXOC8;SNX9;APPL1;PICALM
GO_Molecular_Function_2021	snoRNA binding (GO:0030515)	3/30	5.454596e-03	9.409178e-02	0	0	9.251289e+00	4.821121e+01	BMS1;NUDT5;BYSL
GO_Molecular_Function_2021	endopeptidase activator activity (GO:0061133)	2/10	6.056136e-03	9.832315e-02	0	0	2.074790e+01	1.059530e+02	ADRM1;PSME2
GO_Molecular_Function_2021	vinculin binding (GO:0017166)	2/11	7.343677e-03	1.126030e-01	0	0	1.844164e+01	9.062068e+01	ACTN1;UTRN
GO_Molecular_Function_2021	protein kinase binding (GO:0019901)	13/506	8.376843e-03	1.131775e-01	0	0	2.238127e+00	1.070336e+01	LRBA;FAF1;AP2A2;TTN;TPX2;PPP1CC;CKS2;CIR1;PLCG1;RAC1;PRKACA;UTRN;APPL1
GO_Molecular_Function_2021	m7G(5')pppN diphosphatase activity (GO:0050072)	2/12	8.743110e-03	1.131775e-01	0	0	1.659664e+01	7.865959e+01	NUDT4B;NUDT5
GO_Molecular_Function_2021	kinase binding (GO:0019900)	12/461	1.008200e-02	1.131775e-01	0	0	2.263627e+00	1.040590e+01	TPX2;PPP1CC;LRBA;FAF1;CKS2;CIR1;PLCG1;RAC1;PRKACA;UTRN;AP2A2;TTN
GO_Molecular_Function_2021	RNA 7-methylguanosine cap binding (GO:0000340)	2/13	1.025159e-02	1.131775e-01	0	0	1.508709e+01	6.910374e+01	GEMIN5;EIF4E2
GO_Molecular_Function_2021	tRNA (guanine) methyltransferase activity (GO:0016423)	2/13	1.025159e-02	1.131775e-01	0	0	1.508709e+01	6.910374e+01	TRMT10C;TRMT1L
GO_Molecular_Function_2021	exoribonuclease activity (GO:0004532)	2/13	1.025159e-02	1.131775e-01	0	0	1.508709e+01	6.910374e+01	EXOSC9;EXOSC1
GO_Molecular_Function_2021	GDP-dissociation inhibitor activity (GO:0005092)	2/13	1.025159e-02	1.131775e-01	0	0	1.508709e+01	6.910374e+01	EIF5;GDI1
GO_Molecular_Function_2021	ubiquitin binding (GO:0043130)	4/74	1.208459e-02	1.282826e-01	0	0	4.767554e+00	2.105268e+01	NSFL1C;FAF1;ADRM1;CKS2
GO_Molecular_Function_2021	translation initiation factor activity (GO:0003743)	3/41	1.300572e-02	1.329474e-01	0	0	6.569620e+00	2.852769e+01	EIF5;EIF4E2;EIF1
GO_Molecular_Function_2021	1-phosphatidylinositol binding (GO:0005545)	2/15	1.358454e-02	1.339048e-01	0	0	1.276471e+01	5.487321e+01	SNX9;PICALM
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	8/263	1.438610e-02	1.341648e-01	0	0	2.637593e+00	1.118733e+01	CIRBP;GEMIN5;SRSF4;THOC2;LARP4;RNF40;RBMS2;DCP1B
GO_Molecular_Function_2021	guanyl ribonucleotide binding (GO:0032561)	7/214	1.499879e-02	1.341648e-01	0	0	2.837822e+00	1.191825e+01	RAB5C;ARL3;BMS1;RAB35;GTPBP10;RAC1;ARF5
GO_Molecular_Function_2021	phosphatase activity (GO:0016791)	4/79	1.506923e-02	1.341648e-01	0	0	4.448588e+00	1.866227e+01	HDDC2;PPP1CC;PUDP;BPNT2
GO_Molecular_Function_2021	ribosomal small subunit binding (GO:0043024)	2/17	1.732077e-02	1.493917e-01	0	0	1.106162e+01	4.486428e+01	DHX29;EIF1
GO_Molecular_Function_2021	nucleoside-triphosphatase activity (GO:0017111)	8/278	1.940202e-02	1.622715e-01	0	0	2.489144e+00	9.813147e+00	ATAD1;RAB5C;BMS1;RAB35;GTPBP10;DHX29;RAC1;GPN1
GO_Molecular_Function_2021	single-stranded DNA helicase activity (GO:0017116)	2/19	2.143931e-02	1.740367e-01	0	0	9.759268e+00	3.750027e+01	RFC5;RFC3
GO_Molecular_Function_2021	endonuclease activity (GO:0004519)	3/51	2.328926e-02	1.812062e-01	0	0	5.198312e+00	1.954442e+01	TSNAX;NOB1;DIS3
GO_Molecular_Function_2021	ubiquitin-like protein-specific protease activity (GO:0019783)	2/20	2.363559e-02	1.812062e-01	0	0	9.216620e+00	3.451626e+01	COPS2;SENP3
