Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Spliceosome	26/150	2.689416e-20	6.158762e-18	0	0	1.487038e+01	6.700948e+02	TCERG1;SF3B2;RBM8A;SF3B6;SNU13;U2AF1;PRPF8;EFTUD2;SNRPD1;SNRPB2;PPIL1;SF3A1;FUS;PLRG1;WBP11;U2SURP;SNRNP40;SNW1;PHF5A;PRPF3;SRSF5;SNRNP200;SRSF7;RBMX;HSPA1B;SNRPB
KEGG_2021_Human	Ribosome	24/158	1.928353e-17	2.207964e-15	0	0	1.260432e+01	4.851059e+02	RPL21;RPS7;RPS8;RPL23;RPLP1;RPS6;RPLP0;RPL13A;RPL23A;RPL6;RPS25;MRPL3;RPS19;RPS18;RPL36;RPL13;RPS20;RPL15;RPS11;RPL28;UBA52;RPS12;RPS23;RPL19
KEGG_2021_Human	Coronavirus disease	25/232	1.552788e-14	1.185295e-12	0	0	8.498143e+00	2.702081e+02	RPLP1;RPLP0;ADAR;RPL6;RPS19;RPS18;RPL36;RPL13;MAPK1;RPL15;RPS11;RPS12;RPL19;RPL21;RPS7;RPS8;RPL23;RPS6;RPL13A;RPL23A;RPS25;RPS20;RPL28;UBA52;RPS23
KEGG_2021_Human	Amyotrophic lateral sclerosis	28/364	1.847231e-12	1.057540e-10	0	0	5.888686e+00	1.590966e+02	NDUFB9;NDUFB8;DCTN2;NDUFB5;NDUFA10;DCTN3;TUBA1C;TUBA1B;CASP3;RAC1;RAE1;RAB8A;NDUFA8;FUS;TUBB;SDHA;SDHB;COX6B1;NUP93;PSMC5;TUBB2B;PSMA2;NDUFS6;CHMP2B;NDUFS3;NDUFS1;MATR3;SRSF7
KEGG_2021_Human	Prion disease	21/273	1.201920e-09	5.504795e-08	0	0	5.766904e+00	1.184484e+02	NDUFB9;NDUFA8;NDUFB8;NDUFB5;TUBB;NDUFA10;SDHA;SDHB;COX6B1;TUBA1C;TUBA1B;TUBB2B;PSMC5;PSMA2;NDUFS6;CASP3;NDUFS3;MAPK1;NDUFS1;RAC1;HSPA1B
KEGG_2021_Human	Huntington disease	22/306	1.706659e-09	6.513749e-08	0	0	5.371076e+00	1.084352e+02	NDUFB9;NDUFA8;NDUFB8;HDAC2;DCTN2;NDUFB5;TUBB;NDUFA10;DCTN3;SDHA;SDHB;COX6B1;TUBA1C;PSMC5;TUBB2B;TUBA1B;PSMA2;NDUFS6;CASP3;NDUFS3;NDUFS1;POLR2H
KEGG_2021_Human	Parkinson disease	19/249	8.614660e-09	2.818224e-07	0	0	5.682778e+00	1.055280e+02	NDUFB9;NDUFA8;NDUFB8;NDUFB5;TUBB;NDUFA10;SDHA;SDHB;COX6B1;TUBA1C;TUBA1B;TUBB2B;PSMC5;PSMA2;NDUFS6;CASP3;NDUFS3;NDUFS1;UBA52
KEGG_2021_Human	Oxidative phosphorylation	14/133	1.450295e-08	4.151471e-07	0	0	7.997958e+00	1.443544e+02	ATP6V1A;NDUFB9;NDUFA8;NDUFB8;NDUFB5;NDUFA10;SDHA;SDHB;COX6B1;PPA1;NDUFS6;NDUFS3;NDUFS1;ATP5MF
KEGG_2021_Human	Pathways of neurodegeneration	26/475	1.727117e-08	4.394554e-07	0	0	4.038556e+00	7.218606e+01	NDUFB9;NDUFB8;DCTN2;NDUFB5;NDUFA10;DCTN3;TUBA1C;TUBA1B;CASP3;MAPK1;RAC1;RAB8A;NDUFA8;FUS;TUBB;SDHA;SDHB;COX6B1;PSMC5;TUBB2B;PSMA2;NDUFS6;CHMP2B;NDUFS3;NDUFS1;UBA52
KEGG_2021_Human	Thermogenesis	17/232	9.579623e-08	2.193734e-06	0	0	5.405320e+00	8.735561e+01	COA3;NDUFB9;NDUFA8;SMARCC1;NDUFB8;SMARCD2;SMARCC2;NDUFB5;NDUFA10;RPS6;SDHA;SDHB;COX6B1;NDUFS6;NDUFS3;NDUFS1;ATP5MF
KEGG_2021_Human	Alzheimer disease	21/369	2.254889e-07	4.694268e-06	0	0	4.155418e+00	6.359865e+01	NDUFB9;NDUFA8;NDUFB8;NDUFB5;TUBB;NDUFA10;SDHA;SDHB;RTN4;COX6B1;TUBA1C;PSMC5;TUBB2B;TUBA1B;PSMA2;NDUFS6;CASP3;NDUFS3;MAPK1;NDUFS1;NAE1
KEGG_2021_Human	Non-alcoholic fatty liver disease	13/155	6.887720e-07	1.314407e-05	0	0	6.194941e+00	8.789603e+01	NDUFB9;NDUFA8;NDUFB8;NDUFB5;NDUFA10;SDHA;SDHB;COX6B1;NDUFS6;CASP3;NDUFS3;NDUFS1;RAC1
KEGG_2021_Human	Diabetic cardiomyopathy	14/203	2.697257e-06	4.751321e-05	0	0	5.017747e+00	6.434395e+01	NDUFB9;NDUFA8;NDUFB8;NDUFB5;NDUFA10;SDHA;SDHB;COX6B1;PTPA;GYS1;NDUFS6;NDUFS3;NDUFS1;RAC1
KEGG_2021_Human	Salmonella infection	14/249	2.762423e-05	4.518534e-04	0	0	4.026034e+00	4.226055e+01	ACTR2;HSP90AA1;AHNAK;DCTN2;TUBB;DCTN3;ARPC4;TUBA1C;TUBA1B;TUBB2B;CASP3;MAPK1;RAC1;S100A10
KEGG_2021_Human	Fatty acid degradation	6/43	4.297262e-05	6.560486e-04	0	0	1.077118e+01	1.083037e+02	HADHA;ACAA2;ALDH1B1;HADH;ALDH7A1;ADH5
