Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PPI_Hub_Proteins	IKBKE	28/454	6.162334e-15	1.330752e-12	0	0	7.673511e+00	2.510797e+02	FH;HDAC2;RBM8A;DCTN2;PITPNB;DLST;ETFB;PRPF8;CRYZ;PGRMC1;SSR1;POLR2H;SPTBN1;TMED9;SF3A1;SMARCC1;HSDL2;CCDC58;SDHA;SDHB;KTN1;HADHA;MYL6;EIF5;CAPZA1;SFXN1;PLP2;SNRNP200
PPI_Hub_Proteins	GABARAPL2	30/539	9.338613e-15	1.330752e-12	0	0	6.935047e+00	2.240341e+02	DLST;LIN7A;U2AF1;PRPF8;ELAVL1;EFTUD2;TUBA1C;PTBP1;PABPN1;RBBP4;SNRPD1;RBM34;RAE1;SPTBN1;HNRNPA0;SMARCC1;SMARCC2;FUS;RFC2;NOC3L;PLRG1;SDHA;ILF2;HNRNPL;HADHA;MATR3;SRSF5;SNRNP200;SRSF7;SNRPB
PPI_Hub_Proteins	MAP1LC3A	25/383	5.463010e-14	5.189860e-12	0	0	8.036098e+00	2.454079e+02	HNRNPCL1;ELAVL1;EFTUD2;RBM3;TUBA1C;PTBP1;MTHFD1L;ALDH1B1;SNRPD1;ZNF326;SPTBN1;HNRNPA0;LRRC47;SF3A1;RBM15;SMARCC2;FUS;SDHA;ILF2;HNRNPL;HADHA;MATR3;SNRNP200;SRSF7;RBMX
PPI_Hub_Proteins	GABARAP	26/479	1.178265e-12	8.395136e-11	0	0	6.611716e+00	1.816038e+02	U2AF1;ELAVL1;MTDH;EFTUD2;TUBA1C;FBL;PTBP1;RBBP4;SNRPD1;HNRNPA0;SF3A1;HSDL2;FUS;PLRG1;SDHA;SDHB;ILF2;U2SURP;HNRNPL;HADHA;MATR3;SRSF5;SNRNP200;GRSF1;SRSF7;SNRPB
PPI_Hub_Proteins	GABARAPL1	26/499	2.975602e-12	1.696093e-10	0	0	6.325607e+00	1.678852e+02	AHNAK;ELAVL1;EFTUD2;TUBA1C;PTBP1;PABPN1;RBBP4;SNRPD1;RBM34;SPTBN1;SF3A1;SUPT16H;FUS;CIRBP;SDHA;SDHB;ILF2;U2SURP;HNRNPL;HADHA;MYL6;MATR3;SRSF5;SNRNP200;SRSF7;SNRPB
PPI_Hub_Proteins	SRRM2	15/166	8.150136e-11	3.871314e-09	0	0	1.090773e+01	2.533909e+02	SMARCC1;SF3B2;PPIL1;RBM8A;SDHA;ELAVL1;EFTUD2;HNRNPL;PNN;MYL6;PSMC5;RBBP4;SNRPD1;RBMX;SPTBN1
PPI_Hub_Proteins	SLC2A4	27/635	1.145315e-10	4.663068e-09	0	0	5.105046e+00	1.168554e+02	FH;ACAA2;AHNAK;DCTN2;NDUFA10;DLST;RTN4;MTDH;LIMA1;DPYSL2;SSR1;PMPCA;RAC1;HADH;YKT6;TMED9;ACTN4;SDHA;GLUD1;HADHA;PSMC5;SUCLG2;SFXN1;LAMTOR1;SLC25A11;CD44;KPNB1
PPI_Hub_Proteins	MAP1LC3B	19/322	3.820031e-10	1.339932e-08	0	0	6.988345e+00	1.515464e+02	LRRC47;HNRNPCL1;FUS;ILF2;PRPF8;ELAVL1;HNRNPL;HADHA;TUBA1C;PTBP1;ALDH1B1;SNRPD1;ZNF326;MATR3;SRSF7;RBMX;SPTBN1;SNRPB;HNRNPA0
PPI_Hub_Proteins	RNPS1	14/157	4.231365e-10	1.339932e-08	0	0	1.069472e+01	2.308276e+02	SF3B2;RBM8A;U2AF1;PRPF8;WDR33;EFTUD2;PNN;BCLAF1;THRAP3;PRPF3;PPIG;SREK1;SNRNP200;SRSF7
PPI_Hub_Proteins	MYC	23/498	6.295938e-10	1.794342e-08	0	0	5.473844e+00	1.159686e+02	NDUFA8;SMARCC1;HDAC2;SMARCC2;RFC2;SMC3;PRPF8;U2SURP;NUP93;DPM1;EFTUD2;FBL;SNW1;MTHFD1L;ALDH1B1;ILVBL;NDUFS3;NDUFS1;MATR3;SNRNP200;SLC25A11;KPNB1;HNRNPA0
PPI_Hub_Proteins	MEPCE	14/165	8.170453e-10	2.116890e-08	0	0	1.012399e+01	2.118478e+02	SF3B2;U2AF1;ILF2;PRPF8;EFTUD2;FBL;SRP72;PRPF3;MATR3;SNRNP200;RBMX;KPNB1;SNRPB;HNRNPA0
PPI_Hub_Proteins	ARRB2	18/323	2.805116e-09	6.662150e-08	0	0	6.539083e+00	1.287665e+02	SF3B2;HDAC2;SMARCC2;CTNND1;SDHA;EFTUD2;LIMA1;TUBA1C;FBL;PTBP1;MYL6;BCLAF1;SNRPD1;THRAP3;CAPZA1;SPTBN1;KPNB1;HNRNPA0
PPI_Hub_Proteins	YWHAB	28/812	5.538213e-09	1.214147e-07	0	0	4.092513e+00	7.780519e+01	ATP6V1A;DCTN2;NDUFA10;CTNND1;DLST;LIN7A;HSD17B12;MTDH;EFTUD2;PGRMC1;DPYSL2;SSR1;IARS2;SPTBN1;RAB8A;ACTR2;SAMD4B;ACTN4;KTN1;LETM1;DPM1;GLUD1;HADHA;NDUFS3;SFXN1;NDUFS1;SNRNP200;SLC25A11
PPI_Hub_Proteins	ESR1	22/591	7.379030e-08	1.502160e-06	0	0	4.324335e+00	7.101439e+01	ACTR2;SUPT16H;HDAC2;SMARCC2;AHNAK;FUS;BAZ1B;ILF2;U2SURP;MTDH;EFTUD2;MYL6;PSMC5;BCLAF1;RBBP4;SNRPD1;THRAP3;SRSF5;SRSF7;RBMX;SPTBN1;HNRNPA0
PPI_Hub_Proteins	GSK3B	23/696	3.065907e-07	5.825222e-06	0	0	3.823840e+00	5.734901e+01	MDC1;SF3A1;SMARCC1;SMARCC2;AHNAK;DCTN2;FUS;CTNND1;RRBP1;SCAF4;RTN4;U2SURP;BCLAF1;SNW1;CALD1;THRAP3;DPYSL2;PLP2;PPIG;GRSF1;RBMX;SPTBN1;APPL1
PPI_Hub_Proteins	SNCA	15/328	7.854604e-07	1.399101e-05	0	0	5.218823e+00	7.336097e+01	ATP6V1A;NDUFB9;NDUFA8;NDUFB8;DCTN2;NDUFB5;MGST3;NDUFA10;CTNND1;COX6B1;SAMM50;NDUFS3;NDUFS1;SLC25A11;SPTBN1
PPI_Hub_Proteins	231403	14/288	9.007639e-07	1.510104e-05	0	0	5.544363e+00	7.717766e+01	ATP6V1A;ACTR2;SUPT16H;FUS;SDHA;HADHA;MYL6;PGRMC1;SRP72;RBBP4;CAPZA1;SSR1;SFXN1;NDUFS1
PPI_Hub_Proteins	CSNK1E	11/195	3.329514e-06	5.271731e-05	0	0	6.410133e+00	8.084898e+01	MDC1;SF3B2;PGRMC1;HDAC2;EIF5;AHNAK;THRAP3;CTNND1;PPIG;BAZ1B;RTN4
PPI_Hub_Proteins	EIF1B	10/159	3.568120e-06	5.352180e-05	0	0	7.169901e+00	8.993545e+01	ACTR2;MYL6;PGRMC1;RBBP4;FUS;CAPZA1;UBE2V2;POLR2H;HYPK;MTDH
PPI_Hub_Proteins	CSNK2A1	18/564	1.027544e-05	1.464250e-04	0	0	3.607642e+00	4.143649e+01	MDC1;SF3B2;SF3A1;HDAC2;RBM8A;DCTN2;SSRP1;BAZ1B;SMC3;TYMS;BCLAF1;PGRMC1;EIF5;THRAP3;CAPZA1;PRPF3;SNRNP200;SPTBN1
PPI_Hub_Proteins	ESR2	14/361	1.227521e-05	1.665922e-04	0	0	4.361607e+00	4.932075e+01	HNRNPCL1;SF3A1;SMARCC2;RFC2;RRBP1;CCAR1;HCFC1;EFTUD2;LIMA1;MYL6;BCLAF1;DDX39A;SSR1;SRSF5
PPI_Hub_Proteins	CDK1	19/659	2.387247e-05	3.092570e-04	0	0	3.251375e+00	3.460368e+01	MDC1;SMARCC1;SMARCC2;AHNAK;PRPF8;ELAVL1;LMNB2;U2SURP;EFTUD2;BCLAF1;SNRNP40;SNW1;CALD1;DPYSL2;SSR1;SNRNP200;GRSF1;SPTBN1;APPL1
PPI_Hub_Proteins	TRAF6	17/550	2.742864e-05	3.398766e-04	0	0	3.472944e+00	3.647953e+01	ACTR2;UBE2E1;PRPF8;RTN4;HNRNPL;GLUD1;HADHA;PSMC5;PGRMC1;THRAP3;CAPZA1;MRTO4;UBE2V2;RAC1;POLR2H;CD44;KPNB1
PPI_Hub_Proteins	SUMO2	9/162	2.976796e-05	3.534946e-04	0	0	6.248967e+00	6.512722e+01	MDC1;SUPT16H;HDAC2;PHF5A;AHNAK;RBBP4;CTNND1;SSRP1;BAZ1B
PPI_Hub_Proteins	MED19	8/127	3.395980e-05	3.630413e-04	0	0	7.115569e+00	7.322157e+01	FBL;PNN;PTBP1;SNRPD1;PPIG;POLR2H;U2SURP;HCFC1
PPI_Hub_Proteins	POLR2A	9/165	3.439339e-05	3.630413e-04	0	0	6.127859e+00	6.297996e+01	MDC1;TCERG1;SMARCC1;SMARCC2;FUS;CSTF1;PPIG;POLR2H;SSRP1
PPI_Hub_Proteins	GC20	9/165	3.439339e-05	3.630413e-04	0	0	6.127859e+00	6.297996e+01	ACTR2;MYL6;PGRMC1;RBBP4;FUS;CAPZA1;UBE2V2;POLR2H;HYPK
PPI_Hub_Proteins	EIF2C1	9/174	5.208448e-05	5.301456e-04	0	0	5.790958e+00	5.711416e+01	HNRNPL;SF3B2;PHF5A;SSR1;ZNF326;MATR3;SNRNP200;ILF2;ELAVL1
PPI_Hub_Proteins	PRKAB1	10/223	6.697947e-05	6.582465e-04	0	0	4.999235e+00	4.804827e+01	NUP93;EFTUD2;HADHA;SF3A1;FH;CAPZA1;PLP2;SNRNP200;PRPF8;RTN4
PPI_Hub_Proteins	CDK2	18/675	1.066920e-04	1.013574e-03	0	0	2.980853e+00	2.726158e+01	MDC1;SMARCC1;AHNAK;RRBP1;ELAVL1;SCAF4;LMNB2;U2SURP;FBL;BCLAF1;SNW1;MTHFD1L;CALD1;THRAP3;PRPF3;PPIG;RBMX;SPTBN1
PPI_Hub_Proteins	MCC	11/292	1.380626e-04	1.269285e-03	0	0	4.176633e+00	3.712109e+01	LETM1;TSFM;PGRMC1;SUPT16H;CAPZA1;SFXN1;SSRP1;SMC3;SNRNP200;SDHB;CRYZ
PPI_Hub_Proteins	GRB2	19/767	1.775894e-04	1.552397e-03	0	0	2.766249e+00	2.388943e+01	TCERG1;ACTR2;FH;SMARCC1;SMARCD2;SMARCC2;DCTN2;FUS;DLST;ACTN4;LIMA1;PTBP1;MYL6;BCLAF1;CALD1;THRAP3;MATR3;SNRNP200;SPTBN1
PPI_Hub_Proteins	RUVBL2	8/161	1.797513e-04	1.552397e-03	0	0	5.524773e+00	4.764529e+01	EFTUD2;FBL;HDAC2;MATR3;POLR2H;PRPF8;KPNB1;APPL1
PPI_Hub_Proteins	HDAC2	9/214	2.505591e-04	2.049252e-03	0	0	4.651523e+00	3.856957e+01	SMARCC1;HDAC2;SNW1;SMARCC2;RBBP4;BAZ1B;SMC3;HCFC1;APPL1
PPI_Hub_Proteins	ARRB1	10/263	2.578910e-04	2.049252e-03	0	0	4.200249e+00	3.470655e+01	LIMA1;TUBA1C;MYL6;SF3B2;BCLAF1;SNRPD1;CALD1;THRAP3;NDUFS1;KTN1
PPI_Hub_Proteins	VHL	11/314	2.588529e-04	2.049252e-03	0	0	3.869015e+00	3.195516e+01	MYL6;PGRMC1;SF3A1;SUPT16H;SMARCC1;HDAC2;PITPNB;CHMP2B;SSR1;PLP2;SNRNP200
PPI_Hub_Proteins	PHLDA3	7/129	2.674196e-04	2.059854e-03	0	0	6.039625e+00	4.968613e+01	EFTUD2;DPM1;NUP93;MTHFD1L;RFC2;SFXN1;BAZ1B
PPI_Hub_Proteins	GRIN2B	9/219	2.971241e-04	2.227002e-03	0	0	4.539614e+00	3.686784e+01	ATP6V1A;MYL6;FUS;DPYSL2;LIN7A;ACTN4;RAC1;SPTBN1;APPL1
PPI_Hub_Proteins	PRKACB	8/174	3.047477e-04	2.227002e-03	0	0	5.088742e+00	4.119859e+01	AHNAK;CALD1;THRAP3;PPIG;SNRNP200;SPTBN1;CCAR1;WDR33
PPI_Hub_Proteins	NEDD4	7/141	4.587173e-04	3.198496e-03	0	0	5.495411e+00	4.224364e+01	HNRNPL;SMARCC1;THRAP3;UBE2E1;RAC1;SRSF7;PRPF8
PPI_Hub_Proteins	RELA	10/283	4.601345e-04	3.198496e-03	0	0	3.888557e+00	2.987964e+01	EFTUD2;FBL;HDAC2;SMARCC2;FUS;MATR3;RAC1;ILF2;HCFC1;MTDH
PPI_Hub_Proteins	SMARCA4	7/144	5.204515e-04	3.531635e-03	0	0	5.374253e+00	4.063373e+01	SMARCC1;SMARCD2;HDAC2;SMARCC2;RBBP4;PABPN1;BAZ1B
PPI_Hub_Proteins	SP1	8/195	6.498693e-04	4.222042e-03	0	0	4.512449e+00	3.311569e+01	PSMC5;SF3A1;SMARCC1;HDAC2;SMARCC2;RBBP4;PPIG;HCFC1
PPI_Hub_Proteins	PRKDC	10/296	6.518240e-04	4.222042e-03	0	0	3.709334e+00	2.721070e+01	EFTUD2;MDC1;SUPT16H;FUS;THRAP3;MATR3;SSRP1;SMC3;ILF2;SPTBN1
PPI_Hub_Proteins	RPS6KA3	11/375	1.128908e-03	7.149754e-03	0	0	3.210563e+00	2.178850e+01	PNN;BCLAF1;SMARCC1;RBM15;SMARCC2;AHNAK;THRAP3;MATR3;PPIG;SPTBN1;CD44
PPI_Hub_Proteins	BRCA1	8/216	1.258372e-03	7.796438e-03	0	0	4.052523e+00	2.706249e+01	MDC1;SMARCC1;SMARCD2;HDAC2;SMARCC2;RBBP4;CSTF1;MRPL39
PPI_Hub_Proteins	H2AFX	7/172	1.474988e-03	8.757741e-03	0	0	4.455907e+00	2.904853e+01	MDC1;SUPT16H;POFUT1;MATR3;SSRP1;ILF2;ELAVL1
PPI_Hub_Proteins	EPB41	7/172	1.474988e-03	8.757741e-03	0	0	4.455907e+00	2.904853e+01	HADHA;MACROD1;U2AF1;SNRNP200;SPTBN1;RAB8A;CD44
PPI_Hub_Proteins	HNRNPA1	6/130	1.700067e-03	9.818526e-03	0	0	5.065717e+00	3.230452e+01	HNRNPL;RBM8A;SRP72;PABPN1;ILF2;RBMX
PPI_Hub_Proteins	MAP3K3	8/227	1.722548e-03	9.818526e-03	0	0	3.846811e+00	2.448091e+01	LIMA1;TUBA1C;MYL6;SMARCC2;CAPZA1;MATR3;ACTN4;SPTBN1
PPI_Hub_Proteins	SGK1	6/135	2.058109e-03	1.148642e-02	0	0	4.868135e+00	3.011412e+01	HNRNPL;LETM1;SF3B2;AHNAK;MATR3;CD44
PPI_Hub_Proteins	SIN3A	7/183	2.098793e-03	1.148642e-02	0	0	4.175073e+00	2.574514e+01	SMARCC1;HDAC2;SMARCC2;SNW1;RBBP4;BAZ1B;HCFC1
PPI_Hub_Proteins	TOP1	6/136	2.136071e-03	1.148642e-02	0	0	4.830442e+00	2.970136e+01	EFTUD2;HNRNPL;FBL;SNRNP200;PRPF8;ELAVL1
PPI_Hub_Proteins	DLG4	11/409	2.237138e-03	1.180712e-02	0	0	2.931159e+00	1.788756e+01	ATP6V1A;GLUD1;TUBA1C;MYL6;UBE2V2;LIN7A;ACTN4;LAP3;RAC1;SDHA;SPTBN1
PPI_Hub_Proteins	PIN1	6/145	2.941963e-03	1.524472e-02	0	0	4.515613e+00	2.632006e+01	EFTUD2;HADHA;BCLAF1;THRAP3;SNRNP200;PRPF8
PPI_Hub_Proteins	YWHAG	11/428	3.166917e-03	1.611734e-02	0	0	2.794866e+00	1.608444e+01	EFTUD2;PNN;LIMA1;HNRNPCL1;BCLAF1;THRAP3;CTNND1;SAMD4B;PPIG;SNRNP200;SPTBN1
