Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Metabolism Of RNA R-HSA-8953854	10/666	4.702359e-04	6.053565e-02	0	0	3.967535e+00	3.040035e+01	TRMT112;RPL23;RPLP1;ERCC2;CSTF2;TFIP11;CASC3;GTF2F1;SRRM1;PAIP1
Reactome_2022	Intra-Golgi Traffic R-HSA-6811438	3/42	7.289628e-04	6.053565e-02	0	0	1.887654e+01	1.363620e+02	GOLIM4;VPS45;NAPG
Reactome_2022	mRNA Splicing - Major Pathway R-HSA-72163	5/181	9.953676e-04	6.053565e-02	0	0	7.098677e+00	4.906888e+01	CSTF2;TFIP11;CASC3;GTF2F1;SRRM1
Reactome_2022	Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442	5/181	9.953676e-04	6.053565e-02	0	0	7.098677e+00	4.906888e+01	KIF2A;DCTN3;GOLIM4;VPS45;NAPG
Reactome_2022	Translation R-HSA-72766	6/281	1.185167e-03	6.053565e-02	0	0	5.493986e+00	3.701777e+01	TRMT112;MRPS14;RPL23;RPLP1;EIF3H;EARS2
Reactome_2022	mRNA Splicing R-HSA-72172	5/189	1.206691e-03	6.053565e-02	0	0	6.787287e+00	4.560971e+01	CSTF2;TFIP11;CASC3;GTF2F1;SRRM1
Reactome_2022	Formation Of RNA Pol II Elongation Complex R-HSA-112382	3/58	1.866931e-03	7.024328e-02	0	0	1.337441e+01	8.403757e+01	ERCC2;GTF2F1;SUPT6H
Reactome_2022	mRNA 3-End Processing R-HSA-72187	3/58	1.866931e-03	7.024328e-02	0	0	1.337441e+01	8.403757e+01	CSTF2;CASC3;SRRM1
Reactome_2022	Influenza Viral RNA Transcription And Replication R-HSA-168273	4/137	2.661752e-03	8.491078e-02	0	0	7.437218e+00	4.409356e+01	BLOC1S6;RPL23;RPLP1;GTF2F1
Reactome_2022	RNA Polymerase II Transcription Termination R-HSA-73856	3/67	2.820956e-03	8.491078e-02	0	0	1.148843e+01	6.744486e+01	CSTF2;CASC3;SRRM1
Reactome_2022	Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203	5/242	3.536107e-03	9.563185e-02	0	0	5.255301e+00	2.966475e+01	CSTF2;TFIP11;CASC3;GTF2F1;SRRM1
Reactome_2022	Cytosolic Sulfonation Of Small Molecules R-HSA-156584	2/22	3.812566e-03	9.563185e-02	0	0	2.426341e+01	1.351339e+02	BPNT2;BPNT1
Reactome_2022	Influenza Infection R-HSA-168255	4/157	4.334137e-03	9.894784e-02	0	0	6.458497e+00	3.514218e+01	BLOC1S6;RPL23;RPLP1;GTF2F1
Reactome_2022	RNA Polymerase II Pre-transcription Events R-HSA-674695	3/80	4.652678e-03	9.894784e-02	0	0	9.542569e+00	5.124657e+01	ERCC2;GTF2F1;SUPT6H
Reactome_2022	RNA Polymerase III Transcription Initiation From Type 2 Promoter R-HSA-76066	2/26	5.305981e-03	9.894784e-02	0	0	2.021545e+01	1.059071e+02	BRF1;POLR3C
Reactome_2022	RNA Pol II CTD Phosphorylation And Interaction With CE R-HSA-77075	2/27	5.714912e-03	9.894784e-02	0	0	1.940585e+01	1.002250e+02	ERCC2;GTF2F1
Reactome_2022	RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061	2/27	5.714912e-03	9.894784e-02	0	0	1.940585e+01	1.002250e+02	BRF1;POLR3C
Reactome_2022	Viral mRNA Translation R-HSA-192823	3/90	6.456202e-03	9.894784e-02	0	0	8.441464e+00	4.256789e+01	BLOC1S6;RPL23;RPLP1
