Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TF-LOF_Expression_from_GEO	klf4 17017123 rko gof human gpl96 gds1942 up	85/2440	4.822439e-14	1.065329e-11	0	0	2.884646e+00	8.845164e+01	GFM1;RPLP1;RTCB;RPLP0;NDUFA10;CTNND1;MRPL39;ADAR;ENO1;PEPD;RPL6;HK2;TUBA1C;TUBA1B;RPS19;RPS18;CFL1;FDXR;RPS11;RAB8A;RPS12;ACTR2;HSP90AA1;RFC2;RPL23;RPS6;RPL13A;BAZ1B;WBP11;SDHB;COX6B1;DPM1;EEF1G;HADHA;MYL6;DDX39A;PSMA2;ILVBL;MRTO4;SUCLG2;RPL28;PTMA;PPIA;SLC25A11;UBA52;VAMP2;CD44;KPNB1;SNRPB;SF3B2;FH;NDUFB8;SEC23A;DCTN3;DLST;TYMS;PRPF8;BOLA2B;MTDH;LDHB;LIMA1;BCLAF1;PGRMC1;SRP72;PABPN1;HNRNPDL;RPL13;SSR1;POLR2H;YKT6;RREB1;SPTBN1;S100A10;RPL19;FUS;RPL23A;U2SURP;KTN1;LETM1;ERP44;SNW1;CHMP2A;RPS20;RAN;RPS23
TF-LOF_Expression_from_GEO	gata1 15860665 megakaryocytes lof mouse gpl1261 gds1245 up	133/4921	8.732205e-14	1.065329e-11	0	0	2.450690e+00	7.369023e+01	TCERG1;CMAS;ARL6IP1;PITPNB;SMC3;EFTUD2;PNN;FBL;NUB1;SNRPD1;RPS18;DPYSL2;CFL1;FDXR;RPL36;MACROD1;SMARCC1;SMARCC2;RPL21;RPS7;RPS8;RPS6;STX7;CIRBP;ACTN4;SDHA;PPA1;ILVBL;HMBS;CCDC86;SUCLG2;MATR3;SREK1;SRSF7;KPNB1;SNRPB;SLC27A4;ATP6V1A;SMYD5;MGST3;PRPF8;ADH5;RTN4;MTDH;SDCBP;LARP1;CALD1;CSTF1;MCMBP;SSR1;NAE1;RREB1;SPTBN1;S100A10;COA3;FUS;ARPC4;PA2G4;GNG12;RPS25;EIF5;SNW1;SFXN1;RPS20;ZC3H4;ARHGAP1;ADAR;PEPD;PFAS;ELAVL1;WDR43;LMNB2;RBM3;MRPL3;GYS1;PPP6C;CASP3;PBK;RBM34;APPL1;HSP90AA1;HSDL2;TPI1;RFC2;RPL13A;PLRG1;BAZ1B;WDR33;QTRT1;TUBB2B;THRAP3;SLC25A11;VAMP2;CD44;NDUFB8;SEC23A;HDAC2;AHNAK;POLDIP2;DCTN2;DCTN3;DLST;RRBP1;PCNP;LMAN1;BCLAF1;SRP72;PABPN1;RBBP4;MAPK1;RPL15;CKB;POLR2H;YKT6;RAE1;CCT4;HNRNPA0;IGBP1;SF3A1;KRR1;TRMT1;SSRP1;TJP1;VMP1;ERP44;SNRNP40;XPNPEP1;XPOT;SERBP1;PLP2;RBMX;HSPA1B;RAN
TF-LOF_Expression_from_GEO	hsf1 17216044 hela lof human gpl571 gds1733 up	76/2136	5.826764e-13	4.739101e-11	0	0	2.879302e+00	8.111324e+01	ACAA2;ARL6IP1;RPLP0;ARHGAP1;KIAA0100;ETFB;SMC3;ELAVL1;WDR43;RBM3;PNN;PPP6C;PTBP1;RPS19;POFUT1;CFL1;OSBP;FDXR;RAC1;RPS12;LRRC47;ACTR2;HSP90AA1;SMARCC1;TPI1;STX7;RPL13A;WBP11;SDHA;HSPG2;COX6B1;EEF1G;PRPF3;CMPK1;CCDC86;TTLL12;PPIG;SRSF5;PTMA;SLC25A11;UBA52;CD44;ATP6V1A;FH;NDUFB8;HDAC2;DCTN2;SMYD5;MGST3;DLST;MTDH;LIMA1;LMAN1;DNAJB1;BCLAF1;PGRMC1;LARP1;SAMM50;SRP72;ALDH1B1;CALD1;SSR1;MAPK1;RPL15;SF3A1;FUS;TRMT1;KTN1;TIMM10B;SNRNP40;GOLPH3;EIF5;SERBP1;CHMP2A;RPS20;HSPA1B
TF-LOF_Expression_from_GEO	yy1 22711985 skeletal muscle lof mouse gpl8321 gse39009 up	109/3857	4.269109e-12	2.604157e-10	0	0	2.403423e+00	6.292070e+01	ACAA2;NDUFA10;SMC3;GCSH;EFTUD2;FBL;NUB1;RPS18;OSBP;PMPCA;HADH;RPS12;ATG3;RPS7;RPS8;RPL23;CIRBP;WBP11;SDHA;SDHB;HCFC1;NUP93;DPM1;HMBS;CMPK1;SMS;SUCLG2;LAP3;ALDH7A1;SRSF7;KPNB1;MGST3;PRPF8;RTN4;LDHB;SDCBP;CALD1;MCMBP;SSR1;PACSIN3;RREB1;S100A10;FUS;PA2G4;EIF5;CHMP2A;RPS20;RPS23;GFM1;ETFB;PEPD;HK2;GYS1;CASP3;ACTR2;TMED9;HSP90AA1;HSDL2;TPI1;MRPS25;DIS3;TIMM23;RPL13A;WDR33;QTRT1;HADHA;TUBB2B;MRPL50;PSMA2;THRAP3;NDUFS6;NDUFS1;SLC25A11;CD44;NDUFB9;SF3B2;NDUFB8;SMARCD2;AHNAK;POLDIP2;DCTN2;NDUFB5;RRBP1;PCNP;SAMM50;PABPN1;RBBP4;RPL13;MAPK1;RPL15;RAE1;CCT4;IGBP1;NDUFA8;CCDC58;TRMT1;SSRP1;U2SURP;TJP1;VMP1;GOLPH3;XPOT;TTC4;SERBP1;PLP2;LAMTOR1;RBMX;HSPA1B;RAN
TF-LOF_Expression_from_GEO	trim28 23493425 cd71pluster119plus sorted from bone marrow lof mouse gpl6887 gse44063 up	55/1532	1.383740e-09	5.794606e-08	0	0	2.746992e+00	5.603446e+01	CMAS;ACAA2;RPLP1;RPLP0;NDUFA10;ETFB;CCAR1;RPS19;SNRPD1;RPL36;RPS11;RAB8A;RPS12;TSFM;TPI1;RPL21;RING1;RPS8;RFC2;RPL23;RPS6;NME2;RPL13A;ILF2;ARFGAP1;COX6B1;EEF1G;HADHA;PPA1;PSMA2;NDUFS6;MRTO4;NDUFS3;SLC25A11;NDUFB8;HDAC2;SDCBP;BCLAF1;PACSIN3;RPL19;CCT4;IGBP1;NDUFA8;PPIL1;TRMT10C;NAA10;CCDC58;ARPC4;RPL23A;PHF5A;EIF5;XPNPEP1;SERBP1;SFXN1;RPS20
TF-LOF_Expression_from_GEO	ctnnb1 21914722 ls174t lof human gpl570 gds4386 up	86/3013	1.424903e-09	5.794606e-08	0	0	2.281292e+00	4.646801e+01	TCERG1;CMAS;ARL6IP1;RTCB;RPLP0;ARHGAP1;MRPL39;LMNB2;RBM3;PTBP1;SNRPD1;RPS18;POFUT1;CASP3;OSBP;MACROD1;HADH;IKBIP;ATG3;SMARCC1;HSDL2;RBM15;RPL21;RPS7;RPL23;RPS6;RPL13A;SDHA;SDHB;ILF2;EEF1G;HADHA;PSMA2;NDUFS6;FRG1;AGPS;MRTO4;RPL28;PPIA;SRSF7;SLC25A11;CD44;SNRPB;SLC27A4;SF3B2;FH;HDAC2;RBM8A;RRBP1;TYMS;ADH5;NAPG;MTDH;DHX30;LDHB;LIMA1;LMAN1;SDCBP;MTHFD1L;HNRNPDL;ALDH1B1;CALD1;ZNF703;RPL13;SSR1;IARS2;RPL15;CKB;RAE1;S100A10;HNRNPA0;IGBP1;SF3A1;TBCD;RPL23A;PA2G4;SSRP1;GNG12;LETM1;TJP1;PM20D2;ERP44;EIF5;SUGT1;RAN;RPS23
TF-LOF_Expression_from_GEO	bmi1 17452456 medulloblastoma lof human gpl570 gds2724 up	154/7126	2.673119e-08	9.317730e-07	0	0	1.899300e+00	3.311892e+01	TCERG1;CMAS;PITPNB;RTCB;CTNND1;ENO1;CCAR1;EFTUD2;PNN;FBL;NUB1;RPS19;SNRPD1;CHORDC1;CFL1;OSBP;RPL36;MACROD1;HADH;RPS12;SUPT16H;SMARCC1;SMARCC2;RPL23;RPS6;STX7;CIRBP;HCFC1;COX6B1;DPM1;MYL6;DPM3;PPA1;SARNP;UBE2V2;SMS;SUCLG2;MATR3;LAP3;TTLL12;PPIG;SREK1;RPL28;ALDH7A1;PPIA;SRSF7;UBA52;SNRPB;SLC27A4;ATP6V1A;RBM8A;ADH5;RTN4;MTDH;DHX30;SDCBP;LARP1;HNRNPDL;CALD1;ZNF703;CSTF1;MCMBP;SSR1;RREB1;SPTBN1;S100A10;FUS;BOD1;HNRNPL;TIMM10B;EIF5;SNW1;CHMP2B;CHMP2A;SFXN1;RPS20;GRSF1;RPS23;GFM1;ETFB;PEPD;ELAVL1;PPP6C;PTBP1;RAC1;APPL1;IKBIP;LRRC47;TSFM;ACTR2;JAGN1;HSDL2;TPI1;RBM15;DIS3;TUBB;RPL13A;ARFGAP1;EEF1G;HADHA;TUBB2B;RCN1;PSMA2;THRAP3;NDUFS6;AGPS;NDUFS3;NDUFS1;PTMA;CD44;ATPAF1;NDUFB8;SEC23A;AHNAK;NUFIP2;DCTN2;NDUFB5;DLST;RRBP1;U2AF1;TYMS;NAPG;PCNP;BCLAF1;SAMM50;SRP72;MTHFD1L;PABPN1;RBBP4;RPL13;MAPK1;SLIT3;RPL15;POLR2H;RAE1;CCT4;HNRNPA0;NDUFA8;SF3A1;KRR1;SAMD4B;NOC3L;U2SURP;KTN1;LETM1;TJP1;ERP44;PSMC5;XPNPEP1;SERBP1;GOPC;LAMTOR1;SUGT1;RBMX
TF-LOF_Expression_from_GEO	pcgf2 17452456 medulloblastoma lof human gpl570 gds2724 up	158/7511	1.049263e-07	3.200252e-06	0	0	1.842134e+00	2.960310e+01	CMAS;ARL6IP1;ENO1;PNN;RPS19;OSBP;FDXR;RPL36;MACROD1;PMPCA;HADH;ATG3;SUPT16H;SMARCC1;RPS7;RPS6;STX7;CIRBP;ACTN4;WBP11;ILF2;DPM3;PPA1;ILVBL;SARNP;PRPF3;MRTO4;UBE2V2;CMPK1;SUCLG2;MATR3;LAP3;TTLL12;PPIG;SRSF5;SREK1;SNRNP200;RPL28;ALDH7A1;SRSF7;KPNB1;ATP6V1A;RBM8A;MGST3;LIN7A;PRPF8;ADH5;RTN4;MTDH;LARP1;HNRNPDL;CALD1;ZNF703;CSTF1;SSR1;NAE1;RREB1;SPTBN1;S100A10;COA3;FUS;TBCD;GNG12;HNRNPL;TIMM10B;GLUD1;EIF5;SNW1;CHMP2B;CHMP2A;SFXN1;RPS20;GRSF1;GFM1;ZC3H4;ARHGAP1;MRPL39;PEPD;ELAVL1;LMNB2;TUBA1C;PPP6C;PTBP1;TUBA1B;RAC1;NELFE;IKBIP;TSFM;ACTR2;TMED9;HSP90AA1;JAGN1;HSDL2;DIS3;RPL13A;ARFGAP1;WDR33;HADHA;TUBB2B;MRPL50;RCN1;NDUFS6;FRG1;AGPS;NDUFS1;CD44;ATPAF1;FH;AHNAK;NUFIP2;NDUFB5;DCTN3;DLST;RRBP1;U2AF1;TYMS;NAPG;CRYZ;PCNP;LIMA1;LMAN1;DNAJB1;BCLAF1;PGRMC1;SAMM50;SRP72;MTHFD1L;RBBP4;ALDH1B1;RPL13;MAPK1;IARS2;SNRPB2;RPL15;YKT6;RAE1;HNRNPA0;IGBP1;NDUFA8;SF3A1;PPIL1;KRR1;GSS;SAMD4B;TRMT1;SSRP1;U2SURP;KTN1;ERP44;PSMC5;XPNPEP1;CAPZA1;SERBP1;PLP2;LAMTOR1;SUGT1;RBMX;HSPA1B
TF-LOF_Expression_from_GEO	tcof1 15522210 neuroblastoma gof mouse gpl339 gds998 up	31/738	2.969151e-07	7.449942e-06	0	0	3.072705e+00	4.618220e+01	PRPF8;ELAVL1;MTDH;GCSH;RBM3;PNN;FBL;PTBP1;LARP1;PABPN1;APPL1;NDUFA8;MRPS25;RFC2;CCDC58;TIMM23;PA2G4;SSRP1;BAZ1B;GLUD1;PHF5A;EIF5;PPA1;MRTO4;SMS;CCDC86;LAMTOR1;PTMA;SRSF7;KPNB1;SNRPB
TF-LOF_Expression_from_GEO	ets 00000000 2008 ovarian cancer cells gof human gpl6244 gse21129 up	110/4717	3.053255e-07	7.449942e-06	0	0	1.876684e+00	2.815381e+01	TCERG1;ARL6IP1;EFTUD2;POFUT1;DPYSL2;CFL1;MACROD1;ZNF326;HADH;RPS7;ACTN4;WBP11;SDHB;COX6B1;NUP93;MYL6;DPM3;SCO1;MRTO4;SUCLG2;RPL28;ALDH7A1;SRSF7;KPNB1;RBM8A;SMYD5;PRPF8;ADH5;MTDH;LDHB;SDCBP;CALD1;ZNF703;SSR1;RREB1;SPTBN1;FUS;TBCD;PA2G4;GNG12;SNW1;CHMP2A;SFXN1;RPS23;GFM1;RPLP1;ARHGAP1;PFAS;WDR43;RBM3;TUBA1C;PPP6C;RAB8A;APPL1;TSFM;HSDL2;MRPS25;TFIP11;BAZ1B;EEF1G;HADHA;MRPL50;RCN1;NDUFS6;AGPS;NDUFS3;SLC25A11;VAMP2;CD44;ATPAF1;SF3B2;FH;NDUFB8;AHNAK;NUFIP2;POLDIP2;NDUFB5;DLST;HSD17B12;TYMS;CRYZ;DNAJB1;PGRMC1;SAMM50;MTHFD1L;PABPN1;RBBP4;SLIT3;RPL15;CKB;POLR2H;YKT6;RAE1;HNRNPA0;IGBP1;TRMT10C;NAA10;KRR1;CCDC58;HYPK;KTN1;TJP1;ERP44;PSMC5;GOLPH3;XPNPEP1;XPOT;PLP2;LAMTOR1;HSPA1B
