Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TRANSFAC_and_JASPAR_PWMs	CEBPD (human)	40/1495	2.978965e-04	5.220930e-02	0	0	1.914221e+00	1.554111e+01	CMAS;ARL6IP1;SMYD5;RPLP0;ADAR;CASC3;HSD17B12;SMC3;CCAR1;LIMA1;GYS1;TUBA1C;PPP6C;CALD1;DPYSL2;RAC1;RPS11;RPL19;CCT4;SMARCC1;SMARCC2;NAA10;MRPS25;GSS;NME2;RPL23A;ACTN4;SCAF1;SDHB;ILF2;HNRNPL;QTRT1;GOLPH3;PHF5A;DDX39A;UBE2V2;SFXN1;SRSF5;KPNB1;SLC27A4
TRANSFAC_and_JASPAR_PWMs	NRF1 (mouse)	43/1676	4.239800e-04	5.220930e-02	0	0	1.836625e+00	1.426291e+01	MGST3;ENO1;GCSH;NUB1;BCLAF1;TUBA1B;PABPN1;RPS19;CSTF1;IARS2;SNRPB2;CKB;POLR2H;RAE1;APPL1;ACTR2;TMED9;HSDL2;RPL21;RPS8;RFC2;GSS;CCDC58;CIRBP;TFIP11;RPL23A;SDHA;EPN1;COX6B1;TJP1;QTRT1;RPS25;PSMA2;SERBP1;MRTO4;UBE2V2;TTLL12;PPIG;SRSF5;SNRNP200;UBA52;RPS23;ATPAF1
TRANSFAC_and_JASPAR_PWMs	CRX (human)	36/1362	7.589682e-04	5.220930e-02	0	0	1.875140e+00	1.347017e+01	MDC1;ZC3H4;RPLP0;CASC3;TYMS;PRPF8;ELAVL1;RPL6;WDR43;LMNB2;MTDH;PNN;RPL36;RPL13;MAPK1;RAC1;RPS11;RBM34;RAB8A;CCT4;NAA10;RPS8;GSS;NME2;ACTN4;BAZ1B;ILF2;COX6B1;HNRNPL;MYL6;DPM3;DDX39A;PRPF3;C19ORF25;ALDH7A1;SRSF7
TRANSFAC_and_JASPAR_PWMs	TP53 (mouse)	34/1266	8.136191e-04	5.220930e-02	0	0	1.901543e+00	1.352761e+01	NDUFB9;SMARCD2;ARHGAP1;PFAS;WDR43;CCAR1;SDCBP;NUB1;SAMM50;RPS19;RPS18;CASP3;RPL36;MCMBP;CKB;RBM34;APPL1;IKBIP;LRRC47;TSFM;SMARCC1;TRMT1;ACTN4;PA2G4;PLRG1;SCAF4;PSMC5;SNW1;CCDC86;SRSF5;ALDH7A1;UBA52;SNRPB;SLC27A4
TRANSFAC_and_JASPAR_PWMs	HIF1A (human)	40/1586	9.492600e-04	5.220930e-02	0	0	1.792560e+00	1.247591e+01	ACAA2;CTNND1;ADAR;ENO1;HSD17B12;WDR43;CCAR1;MTDH;LDHB;GYS1;TUBA1C;LARP1;RBBP4;SNRPD1;LMAN2;RPL13;MAPK1;RAC1;RPS11;CCT4;RPS6;ACTN4;PLRG1;SDHB;COX6B1;HNRNPL;VMP1;DDX39A;EIF5;PPA1;PRPF3;HMBS;MRTO4;C19ORF25;MATR3;PLP2;SRSF5;SRSF7;KPNB1;RPS23
TRANSFAC_and_JASPAR_PWMs	GFI1 (human)	36/1427	1.716060e-03	7.071888e-02	0	0	1.781193e+00	1.134214e+01	MDC1;NDUFB8;RPLP0;CTNND1;CASC3;PRPF8;WDR43;LMNB2;CCAR1;MTDH;DHX30;LIMA1;RPL13;MAPK1;RPS11;CCT4;RPS7;TUBB;NME2;ACTN4;BAZ1B;ILF2;TJP1;QTRT1;MYL6;DDX39A;HMBS;MRTO4;C19ORF25;UBE2V2;RPS20;SRSF5;ALDH7A1;SRSF7;UBA52;RBMX
TRANSFAC_and_JASPAR_PWMs	FOXF2 (human)	35/1379	1.800117e-03	7.071888e-02	0	0	1.790145e+00	1.131354e+01	MDC1;ARL6IP1;RPLP0;CTNND1;CASC3;ELAVL1;RPL6;LMNB2;CCAR1;LIMA1;SNRPD1;LMAN2;RPL13;MAPK1;RPS11;RAB8A;RPS7;NAA10;RFC2;NME2;ACTN4;BAZ1B;ILF2;COX6B1;QTRT1;MYL6;PRPF3;HMBS;C19ORF25;UBE2V2;SRSF5;ALDH7A1;SRSF7;KPNB1;SLC27A4
TRANSFAC_and_JASPAR_PWMs	PITX2 (human)	73/3528	2.382603e-03	8.190197e-02	0	0	1.498668e+00	9.051301e+00	MDC1;ARL6IP1;RPLP0;CTNND1;ADAR;CASC3;SMC3;ELAVL1;RPL6;WDR43;LMNB2;CCAR1;RBM3;PNN;POFUT1;RPS11;TSFM;TMED9;SMARCC2;RPS8;RPL23;TUBB;NME2;UBE2E1;ACTN4;PLRG1;BAZ1B;SDHB;COX6B1;QTRT1;MYL6;DPM3;DDX39A;PRPF3;HMBS;MRTO4;C19ORF25;SMS;MATR3;LAP3;SRSF5;SREK1;ALDH7A1;SRSF7;UBA52;SNRPB;NDUFB9;NDUFB8;RBM8A;SMYD5;NDUFB5;DLST;TYMS;PRPF8;ADH5;MTDH;CRYZ;LIMA1;LMAN1;SDCBP;SRP72;LMAN2;RPL13;MAPK1;RPL15;RAE1;SCAF4;HNRNPL;TJP1;XPNPEP1;RPS20;GOPC;PLP2
TRANSFAC_and_JASPAR_PWMs	THRB (human)	46/2034	3.535139e-03	9.771793e-02	0	0	1.600737e+00	9.036166e+00	SF3B2;ACAA2;AHNAK;ARL6IP1;ZC3H4;RPLP0;NDUFA10;SMC3;CCAR1;GCSH;LDHB;GYS1;TUBA1C;ALDH1B1;SNRPD1;DPYSL2;CFL1;ZNF326;RPS11;RAB8A;HNRNPA0;LRRC47;TSFM;RBM15;RPL21;RING1;RPS7;NAA10;DIS3;RPL23;TBCD;RPL23A;SCAF1;HCFC1;HNRNPL;TJP1;RPS25;SNRNP40;CMPK1;RPS20;GOPC;MATR3;SRSF5;SUGT1;RPL28;SNRPB
TRANSFAC_and_JASPAR_PWMs	NR1H3 (human)	34/1385	3.553379e-03	9.771793e-02	0	0	1.722875e+00	9.716769e+00	CMAS;AHNAK;RBM8A;ZC3H4;RPLP0;CTNND1;SMC3;TYMS;PFAS;RPL6;CCAR1;GCSH;PNN;LIMA1;GYS1;RPS19;RBBP4;RPL13;SSR1;RAC1;RAB8A;RPL19;NAA10;RPS25;GLUD1;RCN1;SNRNP40;THRAP3;PRPF3;MATR3;LAP3;SNRNP200;UBA52;KPNB1
