Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
huMAP	RPL10L	10/55	2.820212e-11	8.319625e-09	0	0	2.782982e+01	6.760315e+02	RPL7A;NOP58;RPL21;RPLP1;RPL23;RPL14;RPL23A;RPL10A;RPL8;RPS10
huMAP	RPL38	10/72	4.574500e-10	6.747387e-08	0	0	2.018171e+01	4.340147e+02	RPL7A;RPL21;RPS29;RPLP1;RPL23;RPL14;RPL23A;RPL10A;RPL8;RPS10
huMAP	PUM3	12/126	7.069791e-10	6.951961e-08	0	0	1.330499e+01	2.803365e+02	NOP58;RPL21;KRR1;RPLP1;HP1BP3;RPL14;CCDC86;RPL23A;RRP12;RPL8;RPL10A;RPS10
huMAP	RPL19	11/123	7.235080e-09	4.268697e-07	0	0	1.233621e+01	2.312340e+02	RPL7A;NOP58;RPL21;RPS29;RPL23;RPLP1;RPL14;RPL23A;RPL8;RPL10A;RPS10
huMAP	RPS2	11/123	7.235080e-09	4.268697e-07	0	0	1.233621e+01	2.312340e+02	RPL7A;NOP58;RPL21;RPS29;RPL23;RPLP1;RPL14;RPL23A;RPL8;RPL10A;RPS10
huMAP	EEF1B2	9/72	9.081699e-09	4.465169e-07	0	0	1.776190e+01	3.288973e+02	RPL7A;RPL21;RPLP1;RPL23;NHP2;RPL14;RPL23A;RPL10A;RPL8
huMAP	RRP15	10/106	2.127445e-08	8.284155e-07	0	0	1.301160e+01	2.298598e+02	NOP58;KRR1;RPL23;HP1BP3;RPL14;CCDC86;RPL23A;RRP12;RPL8;RPL10A
huMAP	RPL5	11/137	2.246551e-08	8.284155e-07	0	0	1.095774e+01	1.929799e+02	RPL7A;NOP58;RPL21;RPL23;RPLP1;RPL14;RPL23A;RPS2;RPL8;RPL10A;RPS10
huMAP	RPL28	7/40	3.842816e-08	1.259590e-06	0	0	2.608564e+01	4.453986e+02	RPL21;RPS29;RPLP1;RPL23;RPL14;RPL23A;RPL8
huMAP	RPS26	8/67	8.974737e-08	2.647547e-06	0	0	1.675678e+01	2.719000e+02	RPL7A;RPL21;RPS29;RPL23;RPL14;RPL23A;RPL10A;RPL8
huMAP	RPL32	9/102	1.971217e-07	5.286445e-06	0	0	1.201400e+01	1.854895e+02	RPL7A;RPL21;RPS29;RPL23;RPL14;RPL23A;RPL8;RPL10A;RPS10
huMAP	RPL31	8/75	2.192984e-07	5.391085e-06	0	0	1.475000e+01	2.261593e+02	RPL7A;NOP58;RPL21;RPL23;NHP2;RPL14;RPL23A;RPL10A
huMAP	RPS6	9/108	3.224724e-07	6.504496e-06	0	0	1.128245e+01	1.686415e+02	RPL7A;NOP58;RPL21;RPS29;RPL23;RPL14;RPL23A;RPL8;RPL10A
huMAP	RPLP1	8/79	3.296012e-07	6.504496e-06	0	0	1.391620e+01	2.077046e+02	RPL7A;NOP58;RPL21;RPL23;RPL14;RPL23A;RPL10A;RPS10
huMAP	NCL	7/54	3.307371e-07	6.504496e-06	0	0	1.830250e+01	2.731088e+02	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL10A;RPL8
huMAP	RPS10	8/81	4.006177e-07	7.386389e-06	0	0	1.353356e+01	1.993529e+02	RPL7A;RPL21;RPS29;RPL23;RPL14;RPL23A;RPL10A;RPL8
huMAP	RPS27L	6/36	5.077271e-07	8.810559e-06	0	0	2.444691e+01	3.543170e+02	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL8
huMAP	RPL13A	10/150	5.691803e-07	9.328232e-06	0	0	8.902351e+00	1.280075e+02	RPL21;RPS29;RPL23;HP1BP3;RPL14;CCDC86;RPL23A;RRP12;RPL8;RPL10A
huMAP	PA2G4	7/60	6.913973e-07	1.046801e-05	0	0	1.622559e+01	2.301528e+02	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL10A;RPL8
huMAP	NAP1L4	6/38	7.096956e-07	1.046801e-05	0	0	2.291667e+01	3.244640e+02	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL10A
huMAP	RPL18A	8/97	1.606506e-06	2.256758e-05	0	0	1.109157e+01	1.479777e+02	RPL7A;NOP58;RPL21;RPL23;NHP2;RPL14;RPL23A;RPL10A
huMAP	NAT10	6/46	2.277888e-06	2.891769e-05	0	0	1.832593e+01	2.380952e+02	RPL7A;NOP58;HP1BP3;RPL23A;RRP12;RPL10A
huMAP	HSP90AA1	6/46	2.277888e-06	2.891769e-05	0	0	1.832593e+01	2.380952e+02	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL8
huMAP	RPS18	8/102	2.352626e-06	2.891769e-05	0	0	1.049894e+01	1.360660e+02	RPL7A;RPL21;RPS29;RPL23;RPL14;RPL23A;RPL8;RPL10A
huMAP	RPL9	7/73	2.661823e-06	3.140951e-05	0	0	1.302108e+01	1.671451e+02	RPL7A;NOP58;RPL21;NHP2;RPL14;RPL23A;RPL10A
huMAP	PWP1	8/107	3.374807e-06	3.829108e-05	0	0	9.966162e+00	1.255654e+02	NOP58;RPL23;HP1BP3;RPL14;CCDC86;RPL23A;RPL8;RPL10A
huMAP	YBX3	5/30	4.736509e-06	5.175075e-05	0	0	2.430307e+01	2.979607e+02	NOP58;RPL21;RPL23;RPL14;RPL23A
huMAP	RACK1	6/53	5.318384e-06	5.331398e-05	0	0	1.559102e+01	1.893426e+02	RPL7A;RPL21;RPL23;RPL14;RPL23A;RPL10A
huMAP	RPS12	6/53	5.318384e-06	5.331398e-05	0	0	1.559102e+01	1.893426e+02	RPL7A;NOP58;RPL21;RPL14;RPL23A;RPL10A
huMAP	RPS16	8/114	5.421761e-06	5.331398e-05	0	0	9.304717e+00	1.128205e+02	RPL7A;NOP58;RPL21;RPL23;RPL14;RPL23A;RPL8;RPL10A
huMAP	RPL37A	7/82	5.829862e-06	5.547772e-05	0	0	1.145333e+01	1.380415e+02	RPL7A;NOP58;RPL21;RPL23;RPL14;RPL23A;RPL10A
